frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-0.33,-6.17,-0.32,0.32,-0.26,-0.16,-5.84,-5.85,-5.83
20.20,-6.12,-0.34,-6.11,-0.35,0.36,-0.26,-0.17,-5.76,-5.76,-5.78
20.40,-6.07,-0.39,-6.05,-0.38,0.39,-0.27,-0.17,-5.68,-5.67,-5.68
20.61,-5.99,-0.39,-5.99,-0.41,0.41,-0.27,-0.18,-5.58,-5.59,-5.60
20.81,-5.92,-0.44,-5.92,-0.44,0.42,-0.28,-0.18,-5.50,-5.50,-5.47
21.02,-5.85,-0.45,-5.85,-0.45,0.43,-0.28,-0.19,-5.42,-5.42,-5.39
21.23,-5.80,-0.45,-5.79,-0.45,0.44,-0.29,-0.19,-5.36,-5.35,-5.34
21.44,-5.72,-0.43,-5.72,-0.44,0.44,-0.29,-0.20,-5.28,-5.29,-5.28
21.66,-5.65,-0.42,-5.66,-0.42,0.42,-0.30,-0.21,-5.23,-5.23,-5.23
21.87,-5.59,-0.39,-5.59,-0.40,0.41,-0.30,-0.21,-5.18,-5.18,-5.19
22.09,-5.53,-0.38,-5.52,-0.38,0.38,-0.31,-0.22,-5.15,-5.14,-5.15
22.31,-5.45,-0.35,-5.46,-0.35,0.35,-0.32,-0.22,-5.09,-5.10,-5.10
22.54,-5.39,-0.32,-5.39,-0.33,0.32,-0.32,-0.23,-5.07,-5.07,-5.07
22.76,-5.33,-0.31,-5.32,-0.30,0.29,-0.33,-0.24,-5.04,-5.03,-5.02
22.99,-5.25,-0.26,-5.26,-0.27,0.26,-0.33,-0.25,-4.99,-4.99,-4.99
23.22,-5.19,-0.23,-5.19,-0.23,0.24,-0.34,-0.25,-4.95,-4.95,-4.96
23.45,-5.13,-0.20,-5.13,-0.20,0.21,-0.35,-0.26,-4.92,-4.92,-4.93
23.69,-5.07,-0.17,-5.07,-0.18,0.19,-0.35,-0.27,-4.88,-4.88,-4.90
23.92,-5.01,-0.17,-5.01,-0.16,0.17,-0.36,-0.28,-4.84,-4.84,-4.84
