frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.42,9.14,-10.42,9.14,-9.15,-8.67,-4.19,-19.56,-19.56,-19.56
20.20,-10.33,9.13,-10.33,9.13,-9.13,-8.70,-4.30,-19.46,-19.46,-19.46
20.40,-10.23,9.12,-10.23,9.12,-9.12,-8.74,-4.42,-19.36,-19.36,-19.36
20.61,-10.14,9.11,-10.14,9.11,-9.11,-8.77,-4.53,-19.25,-19.25,-19.26
20.81,-10.05,9.10,-10.05,9.10,-9.10,-8.80,-4.66,-19.15,-19.15,-19.15
21.02,-9.96,9.09,-9.96,9.09,-9.09,-8.83,-4.78,-19.05,-19.05,-19.05
21.23,-9.87,9.08,-9.87,9.08,-9.08,-8.86,-4.91,-18.95,-18.95,-18.95
21.44,-9.77,9.07,-9.77,9.07,-9.07,-8.89,-5.04,-18.84,-18.84,-18.85
21.66,-9.68,9.06,-9.68,9.06,-9.06,-8.92,-5.18,-18.74,-18.74,-18.74
21.87,-9.59,9.05,-9.59,9.05,-9.05,-8.94,-5.31,-18.64,-18.64,-18.64
22.09,-9.50,9.04,-9.50,9.04,-9.04,-8.97,-5.46,-18.54,-18.54,-18.54
22.31,-9.40,9.03,-9.40,9.03,-9.03,-8.99,-5.60,-18.44,-18.44,-18.44
22.54,-9.31,9.03,-9.31,9.02,-9.03,-9.01,-5.76,-18.34,-18.34,-18.33
22.76,-9.21,9.02,-9.21,9.02,-9.02,-9.03,-5.91,-18.24,-18.23,-18.23
22.99,-9.12,9.02,-9.12,9.02,-9.02,-9.05,-6.07,-18.14,-18.14,-18.13
23.22,-9.02,9.02,-9.02,9.02,-9.02,-9.07,-6.23,-18.04,-18.04,-18.04
23.45,-8.93,9.02,-8.93,9.02,-9.02,-9.09,-6.40,-17.95,-17.95,-17.95
23.69,-8.84,9.02,-8.84,9.02,-9.02,-9.10,-6.57,-17.86,-17.86,-17.86
23.92,-8.75,9.02,-8.75,9.02,-9.02,-9.12,-6.74,-17.77,-17.77,-17.77
24.16,-8.67,9.02,-8.67,9.02,-9.02,-9.13,-6.92,-17.68,-17.68,-17.69
24.40,-8.58,9.02,-8.58,9.02,-9.01,-9.14,-7.10,-17.59,-17.59,-17.60
24.65,-8.50,9.01,-8.50,9.01,-9.01,-9.15,-7.28,-17.51,-17.51,-17.51
24.89,-8.41,9.00,-8.41,9.00,-9.01,-9.16,-7.47,-17.42,-17.42,-17.42
25.14,-8.33,9.00,-8.33,9.00,-9.00,-9.17,-7.66,-17.33,-17.33,-17.33
25.39,-8.24,8.99,-8.24,8.99,-9.00,-9.18,-7.85,-17.24,-17.24,-17.24
25.65,-8.15,8.99,-8.15,8.99,-8.99,-9.18,-8.04,-17.15,-17.15,-17.14
