frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.56,6.51,4.56,6.51,-6.52,-6.19,-2.13,-1.96,-1.96,-1.96
20.20,4.56,6.46,4.56,6.46,-6.46,-6.18,-2.19,-1.90,-1.90,-1.90
20.40,4.56,6.40,4.56,6.40,-6.40,-6.17,-2.26,-1.84,-1.84,-1.84
20.61,4.57,6.35,4.57,6.35,-6.35,-6.15,-2.32,-1.78,-1.78,-1.78
20.81,4.57,6.30,4.57,6.30,-6.29,-6.14,-2.39,-1.72,-1.72,-1.73
21.02,4.58,6.24,4.58,6.24,-6.24,-6.12,-2.46,-1.66,-1.66,-1.67
21.23,4.58,6.19,4.58,6.18,-6.18,-6.10,-2.53,-1.60,-1.60,-1.61
21.44,4.58,6.12,4.58,6.12,-6.13,-6.08,-2.61,-1.54,-1.55,-1.54
21.66,4.57,6.06,4.57,6.06,-6.07,-6.06,-2.68,-1.50,-1.50,-1.49
21.87,4.56,6.01,4.56,6.01,-6.02,-6.03,-2.76,-1.45,-1.45,-1.44
22.09,4.55,5.96,4.55,5.96,-5.96,-6.00,-2.84,-1.41,-1.41,-1.41
22.31,4.54,5.91,4.54,5.91,-5.91,-5.97,-2.92,-1.37,-1.37,-1.36
22.54,4.54,5.86,4.54,5.86,-5.85,-5.94,-3.01,-1.32,-1.32,-1.33
22.76,4.53,5.81,4.53,5.81,-5.80,-5.91,-3.10,-1.27,-1.27,-1.27
22.99,4.53,5.75,4.53,5.75,-5.74,-5.87,-3.18,-1.21,-1.21,-1.22
23.22,4.52,5.69,4.52,5.69,-5.68,-5.84,-3.28,-1.16,-1.16,-1.17
23.45,4.52,5.62,4.52,5.63,-5.62,-5.80,-3.37,-1.11,-1.11,-1.10
23.69,4.51,5.56,4.51,5.56,-5.57,-5.76,-3.46,-1.05,-1.05,-1.05
23.92,4.51,5.51,4.51,5.50,-5.51,-5.72,-3.56,-1.01,-1.01,-1.00
24.16,4.50,5.45,4.50,5.45,-5.47,-5.68,-3.66,-0.96,-0.96,-0.95
24.40,4.50,5.41,4.50,5.41,-5.42,-5.64,-3.76,-0.92,-0.92,-0.91
24.65,4.50,5.37,4.50,5.37,-5.38,-5.59,-3.86,-0.88,-0.88,-0.88
24.89,4.50,5.34,4.50,5.34,-5.34,-5.55,-3.96,-0.84,-0.84,-0.84
25.14,4.50,5.31,4.50,5.31,-5.30,-5.50,-4.06,-0.80,-0.80,-0.81
25.39,4.50,5.28,4.49,5.27,-5.26,-5.45,-4.17,-0.76,-0.77,-0.78
25.65,4.48,5.23,4.48,5.23,-5.22,-5.41,-4.27,-0.73,-0.73,-0.75
25.91,4.47,5.18,4.47,5.18,-5.17,-5.36,-4.38,-0.71,-0.71,-0.71
26.16,4.45,5.12,4.45,5.13,-5.13,-5.31,-4.48,-0.68,-0.68,-0.67
26.43,4.43,5.07,4.44,5.07,-5.09,-5.26,-4.58,-0.65,-0.65,-0.64
26.69,4.42,5.03,4.42,5.03,-5.04,-5.21,-4.69,-0.62,-0.62,-0.61
26.96,4.42,4.99,4.42,4.99,-4.99,-5.16,-4.79,-0.57,-0.58,-0.57
27.23,4.41,4.95,4.42,4.95,-4.95,-5.10,-4.89,-0.53,-0.53,-0.54
27.50,4.41,4.91,4.41,4.91,-4.90,-5.05,-4.98,-0.49,-0.49,-0.50
27.77,4.41,4.86,4.40,4.86,-4.85,-5.00,-5.07,-0.45,-0.45,-0.46
28.05,4.39,4.81,4.39,4.81,-4.81,-4.95,-5.16,-0.42,-0.42,-0.42
28.33,4.37,4.76,4.37,4.76,-4.76,-4.90,-5.24,-0.39,-0.39,-0.39
28.62,4.36,4.71,4.36,4.71,-4.71,-4.84,-5.32,-0.36,-0.36,-0.36
28.90,4.34,4.65,4.34,4.66,-4.67,-4.79,-5.40,-0.33,-0.32,-0.31
