frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.56,7.72,4.56,7.72,-7.72,-7.20,-3.40,-3.16,-3.16,-3.16
20.20,4.56,7.68,4.56,7.68,-7.68,-7.22,-3.50,-3.12,-3.12,-3.12
20.40,4.56,7.64,4.56,7.64,-7.64,-7.24,-3.59,-3.08,-3.08,-3.08
20.61,4.57,7.62,4.57,7.61,-7.61,-7.26,-3.69,-3.04,-3.04,-3.05
20.81,4.57,7.57,4.57,7.57,-7.58,-7.28,-3.79,-3.01,-3.01,-3.00
21.02,4.58,7.54,4.58,7.55,-7.55,-7.30,-3.90,-2.97,-2.97,-2.96
21.23,4.58,7.52,4.58,7.52,-7.52,-7.32,-4.00,-2.94,-2.94,-2.94
21.44,4.58,7.51,4.58,7.50,-7.50,-7.33,-4.12,-2.91,-2.92,-2.93
21.66,4.57,7.47,4.57,7.48,-7.47,-7.35,-4.23,-2.90,-2.90,-2.90
21.87,4.56,7.46,4.56,7.45,-7.45,-7.37,-4.35,-2.89,-2.89,-2.90
22.09,4.55,7.42,4.55,7.43,-7.43,-7.38,-4.47,-2.88,-2.88,-2.87
22.31,4.54,7.41,4.54,7.41,-7.42,-7.40,-4.59,-2.88,-2.88,-2.87
22.54,4.54,7.40,4.54,7.40,-7.41,-7.41,-4.71,-2.87,-2.87,-2.86
22.76,4.53,7.39,4.53,7.39,-7.39,-7.42,-4.84,-2.86,-2.86,-2.86
22.99,4.53,7.39,4.53,7.39,-7.38,-7.43,-4.98,-2.85,-2.85,-2.86
23.22,4.52,7.37,4.52,7.38,-7.37,-7.44,-5.11,-2.85,-2.85,-2.85
23.45,4.52,7.38,4.52,7.37,-7.37,-7.45,-5.25,-2.85,-2.85,-2.86
23.69,4.51,7.36,4.51,7.36,-7.36,-7.46,-5.39,-2.85,-2.85,-2.85
23.92,4.51,7.35,4.51,7.35,-7.36,-7.47,-5.54,-2.85,-2.85,-2.84
24.16,4.50,7.34,4.50,7.34,-7.35,-7.48,-5.69,-2.85,-2.85,-2.84
24.40,4.50,7.34,4.50,7.34,-7.35,-7.49,-5.84,-2.85,-2.85,-2.84
24.65,4.50,7.35,4.50,7.34,-7.34,-7.49,-5.99,-2.84,-2.84,-2.85
24.89,4.50,7.35,4.50,7.34,-7.34,-7.50,-6.14,-2.84,-2.84,-2.85
25.14,4.50,7.34,4.50,7.34,-7.33,-7.50,-6.30,-2.83,-2.83,-2.84
25.39,4.50,7.33,4.49,7.33,-7.32,-7.51,-6.46,-2.83,-2.83,-2.83
25.65,4.48,7.31,4.48,7.32,-7.32,-7.51,-6.62,-2.83,-2.83,-2.83
25.91,4.47,7.31,4.47,7.31,-7.31,-7.51,-6.78,-2.84,-2.84,-2.84
26.16,4.45,7.30,4.45,7.30,-7.30,-7.51,-6.94,-2.85,-2.85,-2.85
