frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.56,6.01,4.56,6.01,-6.01,-6.02,-2.54,-1.45,-1.45,-1.45
20.20,4.56,6.00,4.56,6.00,-6.01,-6.00,-2.61,-1.45,-1.45,-1.44
20.40,4.56,6.00,4.56,6.00,-6.00,-5.98,-2.69,-1.44,-1.44,-1.43
20.61,4.57,5.99,4.57,6.00,-6.00,-5.96,-2.76,-1.43,-1.43,-1.42
20.81,4.57,6.00,4.57,5.99,-5.99,-5.94,-2.84,-1.42,-1.42,-1.42
21.02,4.58,5.99,4.58,5.99,-5.98,-5.93,-2.92,-1.41,-1.40,-1.41
21.23,4.58,5.98,4.58,5.98,-5.97,-5.91,-3.00,-1.39,-1.39,-1.40
21.44,4.58,5.97,4.58,5.97,-5.96,-5.89,-3.08,-1.38,-1.39,-1.38
21.66,4.57,5.96,4.57,5.95,-5.95,-5.88,-3.17,-1.38,-1.38,-1.38
21.87,4.56,5.94,4.56,5.94,-5.94,-5.86,-3.26,-1.38,-1.38,-1.37
22.09,4.55,5.93,4.55,5.92,-5.93,-5.85,-3.35,-1.37,-1.37,-1.37
22.31,4.54,5.91,4.54,5.91,-5.91,-5.83,-3.44,-1.37,-1.37,-1.36
22.54,4.54,5.90,4.54,5.90,-5.90,-5.82,-3.54,-1.36,-1.36,-1.36
22.76,4.53,5.89,4.53,5.89,-5.89,-5.80,-3.63,-1.36,-1.36,-1.35
22.99,4.53,5.88,4.53,5.88,-5.88,-5.79,-3.73,-1.35,-1.35,-1.35
23.22,4.52,5.88,4.52,5.87,-5.87,-5.78,-3.84,-1.35,-1.35,-1.35
23.45,4.52,5.86,4.52,5.87,-5.86,-5.76,-3.94,-1.34,-1.34,-1.34
23.69,4.51,5.86,4.51,5.86,-5.85,-5.75,-4.05,-1.34,-1.34,-1.34
23.92,4.51,5.85,4.51,5.85,-5.85,-5.74,-4.16,-1.34,-1.34,-1.34
24.16,4.50,5.83,4.50,5.83,-5.84,-5.73,-4.27,-1.34,-1.34,-1.33
24.40,4.50,5.82,4.50,5.82,-5.83,-5.72,-4.38,-1.34,-1.34,-1.32
24.65,4.50,5.82,4.50,5.82,-5.83,-5.71,-4.50,-1.33,-1.33,-1.32
24.89,4.50,5.82,4.50,5.82,-5.82,-5.70,-4.61,-1.33,-1.32,-1.32
25.14,4.50,5.82,4.50,5.82,-5.81,-5.69,-4.73,-1.32,-1.32,-1.32
25.39,4.50,5.82,4.49,5.82,-5.80,-5.68,-4.85,-1.31,-1.31,-1.32
25.65,4.48,5.81,4.48,5.81,-5.79,-5.67,-4.97,-1.31,-1.31,-1.32
25.91,4.47,5.79,4.47,5.79,-5.78,-5.66,-5.08,-1.32,-1.32,-1.32
26.16,4.45,5.76,4.45,5.77,-5.77,-5.65,-5.20,-1.32,-1.32,-1.31
26.43,4.43,5.75,4.44,5.75,-5.76,-5.65,-5.32,-1.33,-1.33,-1.31
26.69,4.42,5.74,4.42,5.74,-5.75,-5.64,-5.44,-1.33,-1.32,-1.31
26.96,4.42,5.73,4.42,5.73,-5.74,-5.63,-5.55,-1.32,-1.32,-1.31
27.23,4.41,5.73,4.42,5.73,-5.72,-5.62,-5.66,-1.31,-1.31,-1.31
27.50,4.41,5.72,4.41,5.72,-5.71,-5.62,-5.78,-1.30,-1.30,-1.31
27.77,4.41,5.71,4.40,5.71,-5.70,-5.61,-5.88,-1.30,-1.30,-1.30
28.05,4.39,5.69,4.39,5.69,-5.69,-5.61,-5.98,-1.30,-1.30,-1.30
28.33,4.37,5.68,4.37,5.67,-5.67,-5.60,-6.08,-1.30,-1.30,-1.30
28.62,4.36,5.66,4.36,5.66,-5.66,-5.59,-6.17,-1.30,-1.30,-1.30
