frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-4.54,-6.17,-4.54,4.54,4.26,1.68,-1.62,-1.63,-1.62
20.20,-6.12,-4.51,-6.11,-4.52,4.53,4.25,1.73,-1.59,-1.59,-1.61
20.40,-6.07,-4.54,-6.05,-4.51,4.51,4.24,1.78,-1.56,-1.55,-1.53
20.61,-5.99,-4.48,-5.99,-4.48,4.48,4.24,1.83,-1.51,-1.51,-1.51
20.81,-5.92,-4.44,-5.92,-4.46,4.45,4.23,1.89,-1.47,-1.47,-1.48
21.02,-5.85,-4.44,-5.85,-4.42,4.42,4.22,1.94,-1.43,-1.43,-1.41
21.23,-5.80,-4.40,-5.79,-4.38,4.38,4.21,2.00,-1.42,-1.40,-1.40
21.44,-5.72,-4.33,-5.72,-4.34,4.34,4.19,2.06,-1.38,-1.38,-1.39
21.66,-5.65,-4.29,-5.66,-4.29,4.29,4.18,2.11,-1.36,-1.36,-1.36
21.87,-5.59,-4.26,-5.59,-4.25,4.24,4.17,2.18,-1.35,-1.34,-1.33
22.09,-5.53,-4.21,-5.52,-4.20,4.18,4.16,2.24,-1.34,-1.34,-1.32
22.31,-5.45,-4.12,-5.46,-4.14,4.13,4.14,2.30,-1.32,-1.33,-1.32
22.54,-5.39,-4.07,-5.39,-4.06,4.07,4.13,2.37,-1.32,-1.32,-1.32
22.76,-5.33,-4.00,-5.32,-4.00,4.01,4.12,2.44,-1.32,-1.31,-1.32
22.99,-5.25,-3.92,-5.26,-3.94,3.95,4.10,2.51,-1.30,-1.31,-1.32
23.22,-5.19,-3.90,-5.19,-3.89,3.89,4.08,2.58,-1.29,-1.30,-1.29
23.45,-5.13,-3.84,-5.13,-3.84,3.84,4.07,2.65,-1.28,-1.28,-1.29
23.69,-5.07,-3.79,-5.07,-3.80,3.80,4.05,2.73,-1.27,-1.27,-1.28
23.92,-5.01,-3.76,-5.01,-3.76,3.76,4.03,2.80,-1.24,-1.24,-1.25
24.16,-4.95,-3.74,-4.95,-3.74,3.74,4.02,2.88,-1.21,-1.21,-1.21
24.40,-4.88,-3.71,-4.89,-3.71,3.72,4.00,2.96,-1.16,-1.17,-1.17
24.65,-4.83,-3.70,-4.82,-3.70,3.70,3.98,3.04,-1.13,-1.12,-1.13
24.89,-4.76,-3.68,-4.76,-3.69,3.70,3.96,3.12,-1.06,-1.06,-1.08
25.14,-4.69,-3.70,-4.69,-3.70,3.70,3.94,3.20,-0.99,-0.99,-0.99
25.39,-4.63,-3.70,-4.63,-3.71,3.71,3.92,3.28,-0.92,-0.91,-0.93
25.65,-4.56,-3.74,-4.56,-3.73,3.73,3.90,3.36,-0.83,-0.84,-0.82
25.91,-4.51,-3.74,-4.50,-3.75,3.75,3.87,3.44,-0.77,-0.76,-0.77
26.16,-4.43,-3.77,-4.44,-3.77,3.76,3.85,3.52,-0.66,-0.67,-0.66
26.43,-4.38,-3.78,-4.37,-3.78,3.78,3.83,3.60,-0.60,-0.59,-0.60
26.69,-4.31,-3.81,-4.31,-3.79,3.79,3.81,3.68,-0.52,-0.52,-0.50
26.96,-4.25,-3.80,-4.25,-3.81,3.80,3.78,3.76,-0.45,-0.45,-0.45
27.23,-4.19,-3.80,-4.19,-3.80,3.79,3.76,3.83,-0.40,-0.39,-0.39
