frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-6.68,-6.17,-6.68,6.00,6.16,2.48,-0.16,-0.17,0.52
20.20,-6.12,-6.68,-6.11,-6.68,6.00,6.18,2.55,-0.12,-0.11,0.56
20.40,-6.07,-6.69,-6.05,-6.68,6.00,6.21,2.62,-0.07,-0.05,0.62
20.61,-5.99,-6.69,-5.99,-6.68,6.00,6.23,2.70,0.01,0.01,0.70
20.81,-5.92,-6.68,-5.92,-6.69,6.00,6.25,2.78,0.08,0.08,0.76
21.02,-5.85,-6.68,-5.85,-6.68,6.00,6.26,2.86,0.15,0.15,0.83
21.23,-5.80,-6.68,-5.79,-6.66,6.00,6.28,2.94,0.20,0.21,0.88
21.44,-5.72,-6.64,-5.72,-6.65,6.00,6.28,3.03,0.28,0.28,0.92
21.66,-5.65,-6.64,-5.66,-6.64,6.00,6.29,3.11,0.35,0.34,0.99
21.87,-5.59,-6.63,-5.59,-6.62,6.00,6.29,3.20,0.41,0.41,1.04
22.09,-5.53,-6.61,-5.52,-6.60,6.00,6.30,3.30,0.47,0.48,1.08
22.31,-5.45,-6.57,-5.46,-6.58,6.00,6.29,3.39,0.55,0.54,1.13
22.54,-5.39,-6.56,-5.39,-6.55,6.00,6.29,3.49,0.61,0.61,1.16
22.76,-5.33,-6.52,-5.32,-6.52,6.00,6.28,3.59,0.67,0.68,1.20
22.99,-5.25,-6.46,-5.26,-6.48,6.00,6.27,3.69,0.75,0.74,1.21
23.22,-5.19,-6.44,-5.19,-6.44,6.00,6.25,3.80,0.81,0.81,1.25
23.45,-5.13,-6.40,-5.13,-6.40,6.00,6.24,3.91,0.87,0.87,1.27
23.69,-5.07,-6.38,-5.07,-6.38,6.00,6.21,4.02,0.93,0.93,1.31
23.92,-5.01,-6.35,-5.01,-6.36,6.00,6.19,4.13,0.99,0.99,1.34
24.16,-4.95,-6.35,-4.95,-6.34,6.00,6.17,4.24,1.05,1.05,1.40
24.40,-4.88,-6.31,-4.89,-6.31,6.00,6.14,4.36,1.12,1.11,1.43
24.65,-4.83,-6.28,-4.82,-6.28,6.00,6.11,4.48,1.17,1.18,1.45
24.89,-4.76,-6.24,-4.76,-6.25,6.00,6.07,4.60,1.24,1.24,1.48
25.14,-4.69,-6.22,-4.69,-6.22,6.00,6.04,4.72,1.31,1.31,1.53
25.39,-4.63,-6.20,-4.63,-6.19,6.01,6.00,4.84,1.38,1.38,1.57
25.65,-4.56,-6.16,-4.56,-6.16,6.01,5.96,4.96,1.45,1.45,1.60
25.91,-4.51,-6.12,-4.50,-6.12,6.01,5.91,5.08,1.50,1.51,1.61
26.16,-4.43,-6.08,-4.44,-6.08,6.00,5.87,5.20,1.58,1.57,1.65
26.43,-4.38,-6.04,-4.37,-6.04,5.99,5.82,5.32,1.61,1.62,1.66
26.69,-4.31,-6.02,-4.31,-6.01,5.98,5.77,5.44,1.67,1.67,1.71
26.96,-4.25,-5.96,-4.25,-5.97,5.95,5.72,5.56,1.70,1.70,1.71
27.23,-4.19,-5.94,-4.19,-5.93,5.92,5.67,5.68,1.73,1.73,1.75
27.50,-4.13,-5.88,-4.13,-5.88,5.88,5.61,5.79,1.75,1.75,1.75
27.77,-4.06,-5.83,-4.06,-5.83,5.84,5.56,5.90,1.78,1.78,1.77
28.05,-4.00,-5.78,-4.00,-5.78,5.79,5.50,6.00,1.79,1.79,1.78
28.33,-3.93,-5.71,-3.93,-5.73,5.73,5.44,6.10,1.80,1.80,1.78
28.62,-3.87,-5.69,-3.87,-5.68,5.68,5.38,6.19,1.81,1.81,1.82
28.90,-3.81,-5.63,-3.81,-5.63,5.63,5.32,6.27,1.82,1.82,1.82
29.19,-3.74,-5.57,-3.74,-5.58,5.58,5.26,6.35,1.84,1.84,1.83
29.48,-3.68,-5.54,-3.68,-5.52,5.53,5.20,6.41,1.85,1.85,1.86
29.78,-3.61,-5.46,-3.62,-5.48,5.48,5.13,6.47,1.87,1.86,1.85
30.08,-3.56,-5.43,-3.56,-5.43,5.43,5.07,6.52,1.87,1.87,1.87
30.38,-3.51,-5.40,-3.50,-5.38,5.37,5.01,6.55,1.86,1.87,1.89
30.68,-3.44,-5.32,-3.45,-5.33,5.32,4.94,6.58,1.88,1.87,1.89
30.99,-3.39,-5.26,-3.39,-5.27,5.27,4.88,6.59,1.88,1.88,1.87
31.30,-3.33,-5.20,-3.32,-5.21,5.22,4.81,6.60,1.89,1.89,1.87
31.61,-3.26,-5.15,-3.27,-5.16,5.17,4.74,6.59,1.91,1.89,1.89
31.93,-3.22,-5.12,-3.22,-5.11,5.12,4.68,6.57,1.90,1.90,1.90
32.24,-3.18,-5.07,-3.17,-5.07,5.07,4.61,6.54,1.89,1.90,1.89
32.57,-3.12,-5.01,-3.12,-5.02,5.02,4.55,6.49,1.90,1.90,1.89
32.89,-3.06,-4.98,-3.06,-4.97,4.97,4.48,6.44,1.91,1.91,1.92
33.22,-3.00,-4.92,-3.00,-4.92,4.92,4.41,6.38,1.92,1.91,1.92
33.55,-2.95,-4.87,-2.95,-4.87,4.86,4.35,6.30,1.91,1.91,1.92
