frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-2.70,-6.17,-2.70,2.71,2.73,0.58,-3.45,-3.46,-3.45
20.20,-6.12,-2.69,-6.11,-2.70,2.70,2.70,0.60,-3.42,-3.41,-3.42
20.40,-6.07,-2.68,-6.05,-2.69,2.68,2.68,0.61,-3.38,-3.37,-3.38
20.61,-5.99,-2.66,-5.99,-2.67,2.67,2.65,0.64,-3.32,-3.33,-3.33
20.81,-5.92,-2.67,-5.92,-2.66,2.65,2.61,0.66,-3.27,-3.28,-3.25
21.02,-5.85,-2.63,-5.85,-2.64,2.62,2.58,0.68,-3.22,-3.23,-3.22
21.23,-5.80,-2.60,-5.79,-2.61,2.60,2.55,0.70,-3.20,-3.19,-3.20
21.44,-5.72,-2.56,-5.72,-2.56,2.57,2.52,0.72,-3.14,-3.15,-3.16
21.66,-5.65,-2.53,-5.66,-2.53,2.54,2.48,0.75,-3.11,-3.11,-3.12
21.87,-5.59,-2.49,-5.59,-2.50,2.51,2.45,0.77,-3.08,-3.08,-3.10
22.09,-5.53,-2.49,-5.52,-2.48,2.47,2.41,0.80,-3.05,-3.05,-3.04
22.31,-5.45,-2.44,-5.46,-2.45,2.44,2.38,0.82,-3.01,-3.02,-3.01
22.54,-5.39,-2.41,-5.39,-2.42,2.40,2.34,0.85,-2.99,-2.99,-2.98
22.76,-5.33,-2.38,-5.32,-2.37,2.37,2.30,0.87,-2.96,-2.95,-2.95
22.99,-5.25,-2.32,-5.26,-2.33,2.33,2.26,0.90,-2.92,-2.92,-2.93
23.22,-5.19,-2.27,-5.19,-2.29,2.30,2.23,0.93,-2.89,-2.89,-2.92
23.45,-5.13,-2.26,-5.13,-2.25,2.26,2.19,0.96,-2.87,-2.87,-2.87
23.69,-5.07,-2.23,-5.07,-2.23,2.23,2.15,0.99,-2.84,-2.84,-2.84
23.92,-5.01,-2.19,-5.01,-2.20,2.20,2.11,1.02,-2.81,-2.81,-2.82
24.16,-4.95,-2.18,-4.95,-2.17,2.16,2.07,1.05,-2.79,-2.78,-2.77
24.40,-4.88,-2.13,-4.89,-2.14,2.13,2.03,1.08,-2.75,-2.75,-2.75
24.65,-4.83,-2.10,-4.82,-2.10,2.10,1.99,1.11,-2.73,-2.72,-2.73
24.89,-4.76,-2.08,-4.76,-2.06,2.06,1.95,1.14,-2.70,-2.70,-2.68
25.14,-4.69,-2.01,-4.69,-2.02,2.02,1.91,1.17,-2.67,-2.67,-2.68
25.39,-4.63,-1.99,-4.63,-1.98,1.98,1.87,1.20,-2.65,-2.65,-2.64
25.65,-4.56,-1.93,-4.56,-1.93,1.93,1.83,1.24,-2.63,-2.63,-2.63
25.91,-4.51,-1.91,-4.50,-1.89,1.88,1.79,1.27,-2.63,-2.62,-2.60
26.16,-4.43,-1.82,-4.44,-1.83,1.84,1.75,1.30,-2.59,-2.60,-2.60
26.43,-4.38,-1.78,-4.37,-1.78,1.78,1.71,1.33,-2.60,-2.59,-2.60
26.69,-4.31,-1.71,-4.31,-1.72,1.73,1.67,1.36,-2.58,-2.58,-2.60
26.96,-4.25,-1.69,-4.25,-1.68,1.68,1.63,1.38,-2.57,-2.57,-2.56
27.23,-4.19,-1.63,-4.19,-1.63,1.62,1.59,1.41,-2.57,-2.57,-2.56
27.50,-4.13,-1.57,-4.13,-1.58,1.56,1.55,1.44,-2.57,-2.56,-2.56
27.77,-4.06,-1.51,-4.06,-1.52,1.51,1.51,1.46,-2.55,-2.55,-2.55
28.05,-4.00,-1.47,-4.00,-1.45,1.46,1.47,1.49,-2.54,-2.54,-2.53
28.33,-3.93,-1.39,-3.93,-1.40,1.41,1.43,1.51,-2.52,-2.53,-2.54
28.62,-3.87,-1.33,-3.87,-1.34,1.36,1.39,1.53,-2.51,-2.51,-2.54
28.90,-3.81,-1.32,-3.81,-1.30,1.31,1.35,1.54,-2.49,-2.49,-2.49
29.19,-3.74,-1.27,-3.74,-1.27,1.27,1.32,1.56,-2.46,-2.47,-2.47
29.48,-3.68,-1.26,-3.68,-1.24,1.24,1.28,1.57,-2.44,-2.44,-2.42
29.78,-3.61,-1.20,-3.62,-1.21,1.21,1.24,1.58,-2.40,-2.41,-2.41
30.08,-3.56,-1.18,-3.56,-1.18,1.17,1.20,1.59,-2.39,-2.38,-2.38
30.38,-3.51,-1.15,-3.50,-1.15,1.15,1.16,1.59,-2.36,-2.36,-2.36
30.68,-3.44,-1.11,-3.45,-1.12,1.12,1.12,1.59,-2.32,-2.33,-2.33
30.99,-3.39,-1.09,-3.39,-1.08,1.09,1.09,1.59,-2.30,-2.30,-2.30
31.30,-3.33,-1.05,-3.32,-1.05,1.06,1.05,1.58,-2.27,-2.27,-2.28
31.61,-3.26,-1.01,-3.27,-1.02,1.02,1.01,1.57,-2.24,-2.25,-2.25
31.93,-3.22,-1.00,-3.22,-1.00,0.99,0.97,1.56,-2.23,-2.23,-2.22
32.24,-3.18,-0.97,-3.17,-0.96,0.96,0.94,1.54,-2.22,-2.21,-2.20
32.57,-3.12,-0.93,-3.12,-0.93,0.92,0.90,1.52,-2.20,-2.20,-2.19
32.89,-3.06,-0.87,-3.06,-0.88,0.89,0.86,1.50,-2.17,-2.17,-2.19
