frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-1.14,-6.17,-1.14,1.13,1.18,0.62,-5.03,-5.04,-5.02
20.20,-6.12,-1.16,-6.11,-1.16,1.16,1.19,0.64,-4.96,-4.95,-4.96
20.40,-6.07,-1.20,-6.05,-1.19,1.20,1.21,0.65,-4.87,-4.86,-4.87
20.61,-5.99,-1.21,-5.99,-1.21,1.23,1.22,0.67,-4.77,-4.77,-4.78
20.81,-5.92,-1.25,-5.92,-1.25,1.25,1.23,0.69,-4.67,-4.67,-4.67
21.02,-5.85,-1.29,-5.85,-1.28,1.28,1.25,0.71,-4.57,-4.58,-4.56
21.23,-5.80,-1.33,-5.79,-1.31,1.30,1.26,0.73,-4.50,-4.49,-4.47
21.44,-5.72,-1.31,-5.72,-1.32,1.32,1.27,0.75,-4.40,-4.40,-4.41
21.66,-5.65,-1.33,-5.66,-1.33,1.33,1.28,0.77,-4.32,-4.32,-4.32
21.87,-5.59,-1.35,-5.59,-1.34,1.35,1.29,0.79,-4.24,-4.24,-4.24
22.09,-5.53,-1.37,-5.52,-1.36,1.36,1.30,0.81,-4.17,-4.17,-4.15
22.31,-5.45,-1.35,-5.46,-1.37,1.36,1.31,0.84,-4.09,-4.10,-4.09
22.54,-5.39,-1.36,-5.39,-1.37,1.37,1.32,0.86,-4.02,-4.02,-4.03
22.76,-5.33,-1.38,-5.32,-1.37,1.37,1.33,0.88,-3.96,-3.95,-3.94
22.99,-5.25,-1.36,-5.26,-1.37,1.38,1.34,0.91,-3.87,-3.88,-3.89
23.22,-5.19,-1.37,-5.19,-1.37,1.39,1.35,0.93,-3.80,-3.80,-3.82
23.45,-5.13,-1.38,-5.13,-1.38,1.39,1.35,0.96,-3.74,-3.73,-3.75
23.69,-5.07,-1.39,-5.07,-1.40,1.40,1.36,0.98,-3.67,-3.67,-3.68
23.92,-5.01,-1.41,-5.01,-1.41,1.41,1.36,1.01,-3.60,-3.60,-3.60
24.16,-4.95,-1.44,-4.95,-1.42,1.41,1.37,1.03,-3.54,-3.53,-3.51
24.40,-4.88,-1.41,-4.89,-1.43,1.42,1.37,1.06,-3.46,-3.47,-3.47
24.65,-4.83,-1.43,-4.82,-1.42,1.42,1.38,1.09,-3.41,-3.40,-3.40
24.89,-4.76,-1.42,-4.76,-1.41,1.42,1.38,1.12,-3.34,-3.34,-3.34
25.14,-4.69,-1.40,-4.69,-1.41,1.41,1.38,1.14,-3.28,-3.28,-3.29
25.39,-4.63,-1.40,-4.63,-1.40,1.41,1.38,1.17,-3.22,-3.22,-3.23
25.65,-4.56,-1.41,-4.56,-1.40,1.40,1.38,1.20,-3.16,-3.16,-3.15
25.91,-4.51,-1.40,-4.50,-1.40,1.40,1.38,1.23,-3.11,-3.10,-3.11
26.16,-4.43,-1.38,-4.44,-1.39,1.40,1.38,1.25,-3.03,-3.04,-3.05
26.43,-4.38,-1.41,-4.37,-1.39,1.39,1.38,1.28,-2.99,-2.98,-2.97
26.69,-4.31,-1.39,-4.31,-1.39,1.39,1.38,1.31,-2.92,-2.92,-2.92
26.96,-4.25,-1.40,-4.25,-1.40,1.39,1.38,1.33,-2.86,-2.86,-2.85
27.23,-4.19,-1.40,-4.19,-1.39,1.39,1.37,1.36,-2.80,-2.80,-2.79
27.50,-4.13,-1.39,-4.13,-1.39,1.39,1.37,1.38,-2.74,-2.74,-2.74
27.77,-4.06,-1.38,-4.06,-1.39,1.38,1.36,1.41,-2.67,-2.68,-2.67
28.05,-4.00,-1.38,-4.00,-1.38,1.38,1.36,1.43,-2.62,-2.62,-2.62
28.33,-3.93,-1.36,-3.93,-1.37,1.37,1.35,1.45,-2.56,-2.56,-2.57
28.62,-3.87,-1.37,-3.87,-1.37,1.37,1.34,1.47,-2.50,-2.50,-2.50
28.90,-3.81,-1.37,-3.81,-1.36,1.36,1.34,1.49,-2.45,-2.45,-2.44
29.19,-3.74,-1.33,-3.74,-1.35,1.35,1.33,1.50,-2.39,-2.39,-2.41
29.48,-3.68,-1.35,-3.68,-1.34,1.34,1.32,1.52,-2.34,-2.33,-2.33
29.78,-3.61,-1.34,-3.62,-1.34,1.34,1.31,1.53,-2.27,-2.28,-2.27
30.08,-3.56,-1.34,-3.56,-1.33,1.33,1.30,1.54,-2.23,-2.23,-2.22
30.38,-3.51,-1.32,-3.50,-1.32,1.32,1.29,1.55,-2.19,-2.18,-2.19
30.68,-3.44,-1.30,-3.45,-1.31,1.31,1.28,1.56,-2.13,-2.14,-2.13
30.99,-3.39,-1.30,-3.39,-1.30,1.31,1.27,1.56,-2.08,-2.08,-2.09
31.30,-3.33,-1.30,-3.32,-1.30,1.30,1.26,1.56,-2.03,-2.03,-2.03
31.61,-3.26,-1.29,-3.27,-1.29,1.29,1.25,1.56,-1.97,-1.98,-1.97
31.93,-3.22,-1.28,-3.22,-1.28,1.28,1.23,1.56,-1.94,-1.94,-1.94
32.24,-3.18,-1.28,-3.17,-1.27,1.27,1.22,1.55,-1.91,-1.90,-1.90
32.57,-3.12,-1.27,-3.12,-1.27,1.26,1.21,1.55,-1.86,-1.85,-1.85
32.89,-3.06,-1.26,-3.06,-1.25,1.25,1.20,1.54,-1.80,-1.81,-1.80
33.22,-3.00,-1.24,-3.00,-1.24,1.24,1.18,1.53,-1.76,-1.76,-1.76
33.55,-2.95,-1.22,-2.95,-1.23,1.23,1.17,1.51,-1.72,-1.72,-1.73
33.89,-2.90,-1.23,-2.90,-1.22,1.22,1.15,1.50,-1.68,-1.67,-1.67
34.23,-2.85,-1.22,-2.85,-1.21,1.21,1.14,1.49,-1.64,-1.63,-1.63
34.57,-2.79,-1.20,-2.79,-1.20,1.20,1.13,1.47,-1.59,-1.59,-1.59
34.92,-2.74,-1.19,-2.74,-1.19,1.19,1.11,1.45,-1.55,-1.55,-1.55
35.27,-2.70,-1.18,-2.70,-1.18,1.18,1.10,1.43,-1.52,-1.52,-1.52
35.62,-2.66,-1.18,-2.65,-1.18,1.17,1.09,1.41,-1.49,-1.48,-1.48
35.97,-2.60,-1.17,-2.60,-1.17,1.16,1.07,1.39,-1.44,-1.44,-1.43
36.33,-2.54,-1.16,-2.54,-1.15,1.15,1.06,1.37,-1.39,-1.39,-1.38
36.70,-2.49,-1.12,-2.49,-1.14,1.15,1.04,1.35,-1.34,-1.35,-1.36
37.06,-2.45,-1.13,-2.44,-1.13,1.14,1.03,1.33,-1.31,-1.31,-1.32
37.43,-2.40,-1.13,-2.40,-1.12,1.13,1.02,1.30,-1.27,-1.27,-1.27
37.81,-2.35,-1.12,-2.35,-1.12,1.12,1.00,1.28,-1.23,-1.24,-1.23
38.19,-2.31,-1.11,-2.31,-1.12,1.11,0.99,1.26,-1.20,-1.20,-1.19
38.57,-2.27,-1.11,-2.26,-1.11,1.10,0.98,1.24,-1.17,-1.17,-1.16
38.95,-2.21,-1.10,-2.21,-1.09,1.09,0.97,1.22,-1.12,-1.12,-1.11
39.34,-2.15,-1.07,-2.15,-1.07,1.07,0.95,1.20,-1.08,-1.08,-1.08
39.74,-2.09,-1.03,-2.10,-1.05,1.06,0.94,1.18,-1.03,-1.04,-1.06
40.14,-2.05,-1.04,-2.05,-1.04,1.04,0.93,1.16,-1.01,-1.01,-1.01
40.54,-2.01,-1.03,-2.01,-1.03,1.02,0.92,1.14,-0.99,-0.98,-0.98
40.94,-1.96,-1.02,-1.96,-1.01,1.00,0.91,1.12,-0.96,-0.95,-0.94
41.35,-1.90,-0.98,-1.90,-0.99,0.99,0.90,1.10,-0.91,-0.91,-0.92
41.76,-1.84,-0.97,-1.84,-0.97,0.97,0.89,1.08,-0.87,-0.87,-0.87
42.18,-1.79,-0.95,-1.79,-0.94,0.95,0.88,1.07,-0.84,-0.84,-0.84
42.60,-1.75,-0.93,-1.75,-0.93,0.93,0.87,1.05,-0.82,-0.82,-0.82
43.03,-1.70,-0.90,-1.70,-0.91,0.91,0.86,1.04,-0.79,-0.80,-0.80
43.46,-1.67,-0.90,-1.66,-0.89,0.89,0.85,1.02,-0.78,-0.78,-0.77
43.90,-1.62,-0.86,-1.62,-0.87,0.87,0.84,1.01,-0.75,-0.76,-0.76
44.33,-1.59,-0.86,-1.58,-0.85,0.85,0.84,1.00,-0.74,-0.74,-0.73
44.78,-1.54,-0.82,-1.54,-0.83,0.83,0.83,0.99,-0.71,-0.71,-0.71
45.23,-1.51,-0.81,-1.50,-0.81,0.82,0.82,0.98,-0.69,-0.69,-0.70
45.68,-1.47,-0.79,-1.47,-0.80,0.81,0.82,0.97,-0.66,-0.66,-0.68
46.13,-1.43,-0.79,-1.44,-0.79,0.80,0.81,0.96,-0.63,-0.64,-0.64
46.60,-1.42,-0.80,-1.41,-0.79,0.79,0.81,0.95,-0.63,-0.62,-0.62
47.06,-1.38,-0.78,-1.38,-0.78,0.78,0.81,0.94,-0.60,-0.60,-0.60
47.53,-1.36,-0.77,-1.37,-0.79,0.78,0.80,0.94,-0.58,-0.59,-0.59
48.01,-1.34,-0.79,-1.34,-0.78,0.77,0.80,0.93,-0.57,-0.57,-0.54
48.49,-1.34,-0.79,-1.32,-0.78,0.77,0.80,0.93,-0.57,-0.55,-0.55
48.97,-1.29,-0.76,-1.30,-0.77,0.77,0.80,0.92,-0.52,-0.53,-0.53
49.46,-1.29,-0.75,-1.29,-0.76,0.77,0.80,0.92,-0.52,-0.52,-0.53
49.96,-1.29,-0.77,-1.28,-0.77,0.78,0.80,0.92,-0.51,-0.51,-0.52
50.46,-1.29,-0.79,-1.29,-0.78,0.79,0.80,0.91,-0.50,-0.50,-0.50
50.96,-1.29,-0.80,-1.29,-0.80,0.80,0.80,0.91,-0.49,-0.49,-0.49
51.47,-1.29,-0.81,-1.29,-0.82,0.82,0.81,0.91,-0.47,-0.47,-0.48
51.99,-1.29,-0.84,-1.28,-0.83,0.84,0.81,0.91,-0.45,-0.44,-0.44
52.51,-1.29,-0.87,-1.29,-0.86,0.87,0.81,0.91,-0.42,-0.43,-0.42
53.03,-1.29,-0.86,-1.31,-0.89,0.89,0.82,0.91,-0.40,-0.41,-0.43
53.56,-1.34,-0.94,-1.32,-0.92,0.91,0.82,0.90,-0.42,-0.41,-0.40
54.10,-1.34,-0.95,-1.34,-0.94,0.94,0.83,0.90,-0.40,-0.40,-0.39
54.64,-1.34,-0.96,-1.34,-0.96,0.95,0.84,0.90,-0.39,-0.39,-0.38
55.18,-1.34,-0.97,-1.34,-0.97,0.96,0.84,0.90,-0.38,-0.38,-0.37
55.74,-1.34,-0.98,-1.34,-0.98,0.97,0.85,0.90,-0.37,-0.36,-0.36
56.29,-1.34,-1.00,-1.32,-0.98,0.98,0.85,0.89,-0.36,-0.35,-0.34
56.86,-1.29,-0.96,-1.31,-0.98,0.98,0.86,0.89,-0.31,-0.33,-0.33
57.42,-1.29,-0.97,-1.29,-0.97,0.98,0.86,0.89,-0.31,-0.31,-0.32
58.00,-1.27,-0.97,-1.26,-0.97,0.97,0.87,0.88,-0.30,-0.29,-0.30
58.58,-1.25,-0.97,-1.25,-0.97,0.97,0.87,0.87,-0.28,-0.28,-0.28
59.16,-1.22,-0.97,-1.22,-0.97,0.97,0.88,0.87,-0.25,-0.25,-0.25
59.76,-1.21,-0.98,-1.20,-0.97,0.97,0.88,0.86,-0.24,-0.23,-0.23
60.35,-1.16,-0.95,-1.18,-0.97,0.97,0.88,0.85,-0.19,-0.21,-0.21
60.96,-1.16,-0.97,-1.16,-0.96,0.97,0.88,0.84,-0.19,-0.19,-0.19
61.57,-1.16,-0.98,-1.14,-0.96,0.97,0.87,0.83,-0.19,-0.17,-0.18
62.18,-1.12,-0.94,-1.14,-0.97,0.97,0.87,0.81,-0.15,-0.17,-0.18
62.80,-1.12,-0.97,-1.12,-0.96,0.97,0.86,0.80,-0.15,-0.16,-0.14
63.43,-1.12,-0.97,-1.10,-0.96,0.96,0.85,0.78,-0.16,-0.15,-0.15
64.07,-1.08,-0.94,-1.09,-0.95,0.94,0.84,0.76,-0.14,-0.14,-0.14
64.71,-1.05,-0.93,-1.05,-0.92,0.92,0.83,0.75,-0.13,-0.13,-0.12
65.35,-1.01,-0.90,-1.01,-0.90,0.88,0.81,0.73,-0.12,-0.12,-0.11
66.01,-0.95,-0.85,-0.95,-0.86,0.84,0.79,0.70,-0.11,-0.11,-0.10
66.67,-0.89,-0.82,-0.89,-0.80,0.78,0.77,0.68,-0.11,-0.10,-0.07
67.33,-0.81,-0.72,-0.81,-0.73,0.72,0.75,0.66,-0.09,-0.09,-0.09
68.01,-0.73,-0.66,-0.73,-0.66,0.66,0.72,0.63,-0.07,-0.07,-0.07
68.69,-0.65,-0.57,-0.65,-0.58,0.59,0.69,0.60,-0.06,-0.06,-0.08
69.37,-0.59,-0.53,-0.59,-0.51,0.53,0.66,0.58,-0.06,-0.06,-0.06
70.07,-0.53,-0.44,-0.53,-0.46,0.47,0.63,0.55,-0.06,-0.05,-0.08
70.77,-0.47,-0.42,-0.48,-0.42,0.42,0.60,0.52,-0.05,-0.05,-0.05
71.48,-0.44,-0.38,-0.44,-0.38,0.38,0.56,0.49,-0.06,-0.05,-0.06
72.19,-0.41,-0.36,-0.41,-0.35,0.36,0.53,0.46,-0.05,-0.05,-0.05
72.91,-0.38,-0.31,-0.39,-0.33,0.34,0.49,0.43,-0.04,-0.06,-0.07
73.64,-0.38,-0.33,-0.38,-0.32,0.32,0.45,0.39,-0.06,-0.06,-0.05
74.38,-0.38,-0.31,-0.36,-0.31,0.30,0.41,0.36,-0.07,-0.06,-0.07
75.12,-0.34,-0.30,-0.36,-0.30,0.29,0.37,0.33,-0.05,-0.07,-0.04
75.87,-0.34,-0.28,-0.34,-0.29,0.27,0.34,0.29,-0.07,-0.07,-0.06
76.63,-0.34,-0.28,-0.33,-0.27,0.26,0.30,0.26,-0.08,-0.07,-0.06
77.40,-0.30,-0.24,-0.31,-0.24,0.23,0.26,0.23,-0.07,-0.08,-0.06
78.17,-0.30,-0.22,-0.29,-0.21,0.21,0.22,0.19,-0.09,-0.08,-0.08
78.95,-0.25,-0.16,-0.26,-0.18,0.19,0.18,0.16,-0.06,-0.07,-0.09
79.74,-0.25,-0.19,-0.24,-0.15,0.17,0.14,0.12,-0.08,-0.07,-0.06
80.54,-0.21,-0.13,-0.22,-0.13,0.15,0.10,0.08,-0.06,-0.07,-0.08
81.35,-0.21,-0.11,-0.21,-0.13,0.13,0.06,0.05,-0.08,-0.08,-0.10
82.16,-0.21,-0.11,-0.21,-0.11,0.11,0.02,0.01,-0.09,-0.09,-0.09
82.98,-0.21,-0.12,-0.21,-0.11,0.10,-0.01,-0.02,-0.11,-0.11,-0.09
83.81,-0.21,-0.09,-0.21,-0.09,0.09,-0.05,-0.06,-0.12,-0.12,-0.12
84.65,-0.21,-0.07,-0.20,-0.07,0.07,-0.09,-0.10,-0.14,-0.13,-0.14
85.50,-0.17,-0.04,-0.19,-0.05,0.05,-0.12,-0.13,-0.12,-0.14,-0.13
86.35,-0.17,-0.03,-0.17,-0.02,0.02,-0.16,-0.17,-0.15,-0.15,-0.14
87.22,-0.17,-0.01,-0.15,0.01,-0.01,-0.19,-0.21,-0.18,-0.16,-0.16
88.09,-0.12,0.07,-0.13,0.04,-0.05,-0.23,-0.24,-0.17,-0.18,-0.19
88.97,-0.10,0.07,-0.10,0.09,-0.09,-0.26,-0.28,-0.19,-0.19,-0.17
89.86,-0.06,0.12,-0.06,0.13,-0.14,-0.30,-0.32,-0.20,-0.20,-0.18
90.76,-0.02,0.20,-0.02,0.19,-0.18,-0.33,-0.36,-0.20,-0.21,-0.22
91.66,0.01,0.24,0.01,0.25,-0.23,-0.36,-0.39,-0.22,-0.22,-0.23
92.58,0.04,0.31,0.04,0.30,-0.28,-0.40,-0.43,-0.24,-0.24,-0.27
93.51,0.07,0.34,0.07,0.33,-0.33,-0.43,-0.47,-0.26,-0.26,-0.27
94.44,0.09,0.35,0.10,0.37,-0.38,-0.46,-0.51,-0.29,-0.28,-0.26
95.39,0.13,0.42,0.12,0.42,-0.43,-0.49,-0.55,-0.30,-0.30,-0.29
96.34,0.14,0.47,0.14,0.47,-0.47,-0.53,-0.58,-0.33,-0.33,-0.33
97.30,0.16,0.52,0.16,0.52,-0.52,-0.56,-0.62,-0.36,-0.35,-0.36
98.28,0.18,0.57,0.17,0.56,-0.56,-0.59,-0.66,-0.38,-0.39,-0.39
99.26,0.18,0.60,0.19,0.60,-0.60,-0.62,-0.70,-0.42,-0.41,-0.42
100.25,0.19,0.64,0.20,0.64,-0.64,-0.65,-0.74,-0.45,-0.44,-0.44
101.25,0.22,0.69,0.21,0.69,-0.68,-0.68,-0.78,-0.46,-0.47,-0.47
