frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.56,-0.24,4.56,-0.24,0.22,0.36,0.96,4.77,4.77,4.79
20.20,4.56,-0.26,4.56,-0.26,0.25,0.39,0.99,4.81,4.81,4.82
20.40,4.56,-0.29,4.56,-0.29,0.29,0.42,1.02,4.85,4.85,4.85
20.61,4.57,-0.32,4.57,-0.32,0.33,0.45,1.04,4.90,4.90,4.89
20.81,4.57,-0.34,4.57,-0.35,0.37,0.49,1.07,4.94,4.94,4.91
21.02,4.58,-0.39,4.58,-0.38,0.41,0.52,1.10,4.99,4.99,4.96
21.23,4.58,-0.43,4.58,-0.44,0.46,0.56,1.13,5.04,5.04,5.01
21.44,4.58,-0.50,4.58,-0.50,0.51,0.60,1.17,5.09,5.08,5.08
21.66,4.57,-0.57,4.57,-0.56,0.56,0.64,1.20,5.13,5.14,5.14
21.87,4.56,-0.63,4.56,-0.63,0.62,0.68,1.23,5.18,5.18,5.19
22.09,4.55,-0.69,4.55,-0.69,0.68,0.72,1.27,5.23,5.23,5.24
22.31,4.54,-0.75,4.54,-0.74,0.73,0.76,1.30,5.27,5.27,5.29
22.54,4.54,-0.78,4.54,-0.79,0.78,0.81,1.34,5.32,5.32,5.32
22.76,4.53,-0.83,4.53,-0.83,0.83,0.85,1.37,5.36,5.36,5.36
22.99,4.53,-0.87,4.53,-0.87,0.88,0.90,1.41,5.40,5.40,5.40
23.22,4.52,-0.91,4.52,-0.92,0.92,0.95,1.45,5.45,5.45,5.43
23.45,4.52,-0.97,4.52,-0.96,0.97,0.99,1.49,5.49,5.49,5.49
23.69,4.51,-1.02,4.51,-1.02,1.03,1.04,1.53,5.54,5.54,5.53
23.92,4.51,-1.07,4.51,-1.08,1.08,1.09,1.57,5.59,5.59,5.57
24.16,4.50,-1.14,4.50,-1.14,1.14,1.15,1.61,5.64,5.64,5.64
24.40,4.50,-1.21,4.50,-1.21,1.19,1.20,1.66,5.69,5.69,5.70
24.65,4.50,-1.27,4.50,-1.27,1.25,1.25,1.70,5.74,5.74,5.76
24.89,4.50,-1.33,4.50,-1.32,1.31,1.31,1.74,5.80,5.80,5.82
25.14,4.50,-1.36,4.50,-1.36,1.36,1.36,1.79,5.86,5.86,5.85
25.39,4.50,-1.41,4.49,-1.41,1.42,1.42,1.83,5.92,5.92,5.90
25.65,4.48,-1.46,4.48,-1.46,1.48,1.48,1.88,5.97,5.97,5.94
25.91,4.47,-1.52,4.47,-1.53,1.54,1.54,1.93,6.01,6.01,5.99
26.16,4.45,-1.60,4.45,-1.60,1.60,1.60,1.97,6.05,6.05,6.05
26.43,4.43,-1.68,4.44,-1.67,1.66,1.66,2.02,6.09,6.09,6.11
26.69,4.42,-1.74,4.42,-1.74,1.71,1.72,2.06,6.13,6.13,6.16
26.96,4.42,-1.78,4.42,-1.78,1.76,1.78,2.11,6.18,6.18,6.20
27.23,4.41,-1.82,4.42,-1.82,1.81,1.84,2.15,6.23,6.23,6.23
27.50,4.41,-1.85,4.41,-1.85,1.87,1.90,2.20,6.28,6.28,6.26
27.77,4.41,-1.90,4.40,-1.90,1.92,1.96,2.24,6.32,6.32,6.30
28.05,4.39,-1.94,4.39,-1.94,1.97,2.02,2.28,6.35,6.35,6.33
28.33,4.37,-2.00,4.37,-2.00,2.02,2.08,2.32,6.39,6.39,6.37
28.62,4.36,-2.07,4.36,-2.07,2.07,2.14,2.36,6.42,6.42,6.42
28.90,4.34,-2.15,4.34,-2.14,2.12,2.21,2.40,6.46,6.46,6.49
29.19,4.33,-2.20,4.33,-2.20,2.17,2.27,2.44,6.50,6.50,6.53
29.48,4.32,-2.23,4.32,-2.24,2.23,2.33,2.47,6.55,6.55,6.55
29.78,4.31,-2.28,4.31,-2.28,2.29,2.39,2.51,6.60,6.60,6.59
30.08,4.30,-2.33,4.30,-2.33,2.35,2.44,2.54,6.65,6.65,6.63
30.38,4.29,-2.39,4.29,-2.39,2.41,2.50,2.57,6.70,6.70,6.68
30.68,4.28,-2.45,4.28,-2.45,2.47,2.56,2.60,6.74,6.74,6.72
30.99,4.26,-2.52,4.26,-2.52,2.53,2.61,2.62,6.79,6.79,6.78
