frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.93,-0.64,1.93,-0.64,0.65,0.40,-0.00,2.57,2.57,2.57
20.20,1.97,-0.59,1.97,-0.59,0.59,0.39,-0.00,2.56,2.56,2.56
20.40,2.01,-0.53,2.01,-0.53,0.53,0.38,-0.00,2.54,2.54,2.55
20.61,2.06,-0.48,2.06,-0.48,0.47,0.37,-0.00,2.53,2.53,2.54
20.81,2.10,-0.42,2.10,-0.42,0.42,0.36,-0.00,2.52,2.52,2.52
21.02,2.14,-0.37,2.14,-0.37,0.37,0.35,-0.00,2.51,2.51,2.51
21.23,2.18,-0.31,2.19,-0.32,0.32,0.34,-0.00,2.50,2.50,2.50
21.44,2.23,-0.28,2.23,-0.27,0.27,0.33,0.00,2.50,2.50,2.51
21.66,2.27,-0.22,2.27,-0.22,0.22,0.32,0.00,2.49,2.49,2.49
21.87,2.31,-0.18,2.31,-0.18,0.17,0.32,0.00,2.48,2.48,2.49
22.09,2.34,-0.13,2.34,-0.13,0.13,0.31,0.00,2.47,2.47,2.47
22.31,2.38,-0.09,2.38,-0.09,0.09,0.30,0.00,2.46,2.46,2.47
22.54,2.41,-0.05,2.41,-0.05,0.05,0.29,0.00,2.46,2.46,2.46
22.76,2.44,-0.01,2.44,-0.01,0.02,0.28,0.00,2.47,2.46,2.46
22.99,2.47,0.02,2.46,0.01,-0.00,0.27,0.01,2.46,2.46,2.45
23.22,2.47,0.03,2.47,0.03,-0.02,0.26,0.01,2.45,2.45,2.44
23.45,2.47,0.03,2.48,0.04,-0.04,0.25,0.01,2.44,2.44,2.45
23.69,2.48,0.04,2.48,0.04,-0.05,0.25,0.01,2.43,2.43,2.44
23.92,2.48,0.06,2.48,0.05,-0.05,0.24,0.01,2.43,2.43,2.43
24.16,2.49,0.05,2.49,0.05,-0.06,0.23,0.01,2.43,2.43,2.44
24.40,2.49,0.06,2.49,0.06,-0.07,0.22,0.01,2.43,2.43,2.44
24.65,2.50,0.06,2.50,0.06,-0.07,0.21,0.01,2.43,2.43,2.44
24.89,2.50,0.07,2.51,0.07,-0.07,0.21,0.01,2.43,2.43,2.44
25.14,2.51,0.08,2.51,0.08,-0.07,0.20,0.01,2.44,2.44,2.43
25.39,2.52,0.09,2.51,0.08,-0.07,0.19,0.01,2.44,2.44,2.43
25.65,2.50,0.08,2.50,0.08,-0.07,0.18,0.01,2.44,2.44,2.43
25.91,2.49,0.06,2.49,0.06,-0.06,0.18,0.01,2.43,2.43,2.43
26.16,2.48,0.04,2.48,0.04,-0.05,0.17,0.01,2.43,2.43,2.44
26.43,2.46,0.03,2.46,0.03,-0.03,0.16,0.01,2.43,2.43,2.44
26.69,2.45,0.01,2.45,0.01,-0.02,0.15,0.01,2.43,2.43,2.44
26.96,2.44,0.00,2.44,0.00,-0.00,0.15,0.01,2.44,2.44,2.44
27.23,2.43,-0.01,2.43,-0.01,0.01,0.14,0.01,2.44,2.44,2.44
27.50,2.42,-0.02,2.42,-0.02,0.03,0.13,0.01,2.44,2.44,2.44
27.77,2.41,-0.04,2.40,-0.04,0.04,0.12,0.01,2.45,2.44,2.45
28.05,2.39,-0.05,2.40,-0.05,0.05,0.12,0.01,2.45,2.45,2.45
28.33,2.39,-0.06,2.40,-0.06,0.06,0.11,0.00,2.46,2.46,2.46
28.62,2.40,-0.07,2.40,-0.07,0.07,0.10,0.00,2.47,2.47,2.47
28.90,2.41,-0.08,2.41,-0.08,0.07,0.09,-0.00,2.48,2.48,2.49
29.19,2.42,-0.08,2.42,-0.08,0.08,0.09,-0.00,2.49,2.49,2.50
29.48,2.42,-0.07,2.42,-0.08,0.07,0.08,-0.01,2.50,2.49,2.50
29.78,2.42,-0.06,2.42,-0.07,0.07,0.07,-0.01,2.49,2.49,2.49
30.08,2.42,-0.06,2.42,-0.05,0.06,0.07,-0.02,2.48,2.48,2.48
30.38,2.41,-0.04,2.41,-0.04,0.04,0.06,-0.02,2.45,2.45,2.45
30.68,2.40,-0.02,2.40,-0.03,0.03,0.05,-0.03,2.43,2.43,2.43
30.99,2.40,-0.01,2.40,-0.01,0.01,0.04,-0.03,2.40,2.40,2.41
31.30,2.39,0.01,2.39,0.01,-0.02,0.04,-0.04,2.37,2.37,2.38
31.61,2.39,0.04,2.39,0.04,-0.05,0.03,-0.05,2.34,2.34,2.35
31.93,2.39,0.09,2.39,0.08,-0.08,0.02,-0.05,2.31,2.31,2.30
32.24,2.39,0.11,2.38,0.11,-0.11,0.01,-0.06,2.28,2.27,2.28
32.57,2.38,0.15,2.38,0.15,-0.15,0.00,-0.07,2.24,2.24,2.24
32.89,2.38,0.18,2.39,0.18,-0.19,-0.00,-0.08,2.19,2.20,2.21
33.22,2.40,0.22,2.40,0.22,-0.23,-0.01,-0.09,2.17,2.17,2.18
33.55,2.41,0.26,2.41,0.26,-0.27,-0.02,-0.10,2.14,2.14,2.15
33.89,2.42,0.30,2.42,0.31,-0.30,-0.03,-0.11,2.12,2.12,2.12
34.23,2.43,0.35,2.44,0.34,-0.33,-0.04,-0.12,2.11,2.11,2.09
34.57,2.45,0.37,2.44,0.36,-0.35,-0.05,-0.14,2.10,2.10,2.08
34.92,2.45,0.38,2.45,0.37,-0.36,-0.05,-0.15,2.09,2.09,2.07
35.27,2.44,0.35,2.44,0.37,-0.37,-0.06,-0.16,2.07,2.07,2.09
35.62,2.44,0.37,2.44,0.36,-0.37,-0.07,-0.17,2.07,2.07,2.07
35.97,2.43,0.36,2.43,0.36,-0.37,-0.08,-0.19,2.06,2.07,2.08
36.33,2.43,0.35,2.43,0.36,-0.36,-0.09,-0.20,2.07,2.06,2.08
36.70,2.42,0.36,2.42,0.35,-0.36,-0.10,-0.22,2.06,2.06,2.06
37.06,2.40,0.35,2.40,0.35,-0.35,-0.11,-0.23,2.05,2.05,2.05
37.43,2.38,0.35,2.38,0.35,-0.35,-0.12,-0.25,2.04,2.04,2.04
37.81,2.37,0.34,2.37,0.34,-0.34,-0.13,-0.27,2.03,2.03,2.03
38.19,2.35,0.34,2.35,0.33,-0.33,-0.15,-0.28,2.02,2.02,2.01
38.57,2.32,0.33,2.32,0.32,-0.32,-0.16,-0.30,2.01,2.01,2.00
38.95,2.29,0.30,2.29,0.31,-0.30,-0.17,-0.32,1.99,1.99,1.99
39.34,2.26,0.29,2.26,0.29,-0.29,-0.18,-0.34,1.97,1.97,1.97
39.74,2.23,0.28,2.22,0.27,-0.28,-0.19,-0.36,1.95,1.95,1.95
40.14,2.19,0.26,2.19,0.26,-0.27,-0.21,-0.37,1.92,1.92,1.94
40.54,2.17,0.24,2.17,0.25,-0.27,-0.22,-0.39,1.90,1.91,1.93
40.94,2.17,0.26,2.16,0.26,-0.26,-0.24,-0.41,1.90,1.90,1.91
41.35,2.16,0.27,2.16,0.27,-0.27,-0.25,-0.43,1.90,1.89,1.90
41.76,2.16,0.29,2.16,0.28,-0.27,-0.27,-0.46,1.89,1.89,1.88
42.18,2.16,0.28,2.16,0.29,-0.28,-0.28,-0.48,1.88,1.88,1.88
42.60,2.16,0.30,2.16,0.30,-0.29,-0.30,-0.50,1.87,1.87,1.86
43.03,2.15,0.30,2.15,0.31,-0.30,-0.31,-0.52,1.85,1.85,1.85
43.46,2.14,0.32,2.14,0.31,-0.31,-0.33,-0.54,1.84,1.84,1.83
43.90,2.13,0.32,2.13,0.32,-0.32,-0.35,-0.57,1.82,1.82,1.82
44.33,2.13,0.33,2.12,0.32,-0.33,-0.37,-0.59,1.80,1.79,1.80
44.78,2.12,0.33,2.12,0.34,-0.35,-0.39,-0.62,1.77,1.78,1.79
45.23,2.13,0.35,2.13,0.36,-0.37,-0.41,-0.64,1.76,1.76,1.78
45.68,2.15,0.40,2.15,0.40,-0.40,-0.43,-0.67,1.75,1.75,1.75
46.13,2.17,0.44,2.17,0.44,-0.44,-0.46,-0.69,1.73,1.73,1.73
46.60,2.19,0.48,2.19,0.48,-0.48,-0.48,-0.72,1.71,1.71,1.71
47.06,2.21,0.52,2.21,0.52,-0.52,-0.51,-0.75,1.68,1.68,1.69
47.53,2.23,0.56,2.23,0.56,-0.57,-0.53,-0.77,1.65,1.65,1.67
48.01,2.25,0.62,2.25,0.62,-0.62,-0.56,-0.80,1.63,1.63,1.63
48.49,2.27,0.66,2.27,0.67,-0.67,-0.59,-0.83,1.61,1.61,1.61
48.97,2.30,0.72,2.30,0.72,-0.70,-0.62,-0.85,1.59,1.59,1.58
49.46,2.32,0.76,2.31,0.76,-0.73,-0.65,-0.88,1.58,1.58,1.56
49.96,2.33,0.80,2.32,0.78,-0.76,-0.68,-0.91,1.56,1.56,1.53
50.46,2.31,0.78,2.31,0.79,-0.78,-0.71,-0.94,1.53,1.53,1.53
50.96,2.30,0.79,2.30,0.79,-0.80,-0.74,-0.97,1.50,1.50,1.51
51.47,2.28,0.80,2.28,0.80,-0.82,-0.78,-0.99,1.47,1.47,1.49
51.99,2.27,0.83,2.27,0.82,-0.83,-0.81,-1.02,1.43,1.43,1.44
52.51,2.26,0.84,2.26,0.84,-0.86,-0.85,-1.05,1.40,1.40,1.42
53.03,2.26,0.87,2.25,0.88,-0.89,-0.89,-1.08,1.37,1.37,1.39
53.56,2.25,0.92,2.25,0.92,-0.92,-0.93,-1.10,1.33,1.33,1.34
54.10,2.25,0.97,2.25,0.97,-0.96,-0.97,-1.13,1.29,1.29,1.28
54.64,2.25,1.01,2.25,1.02,-1.01,-1.01,-1.15,1.24,1.24,1.24
55.18,2.25,1.06,2.25,1.06,-1.06,-1.05,-1.18,1.19,1.19,1.19
55.74,2.25,1.11,2.25,1.10,-1.11,-1.08,-1.20,1.14,1.14,1.14
56.29,2.25,1.14,2.25,1.15,-1.15,-1.12,-1.22,1.10,1.10,1.11
56.86,2.25,1.18,2.25,1.19,-1.19,-1.16,-1.24,1.06,1.06,1.07
57.42,2.25,1.23,2.25,1.23,-1.22,-1.20,-1.25,1.03,1.03,1.02
58.00,2.25,1.26,2.25,1.26,-1.25,-1.24,-1.27,1.00,1.00,0.99
58.58,2.24,1.28,2.24,1.28,-1.27,-1.27,-1.28,0.97,0.97,0.96
59.16,2.23,1.28,2.23,1.29,-1.29,-1.31,-1.30,0.94,0.94,0.95
59.76,2.22,1.29,2.22,1.30,-1.30,-1.34,-1.31,0.92,0.92,0.93
60.35,2.21,1.31,2.21,1.31,-1.32,-1.36,-1.31,0.89,0.89,0.90
60.96,2.20,1.32,2.20,1.32,-1.33,-1.39,-1.32,0.87,0.87,0.88
61.57,2.19,1.34,2.19,1.33,-1.34,-1.41,-1.32,0.86,0.86,0.86
62.18,2.19,1.34,2.19,1.34,-1.34,-1.42,-1.32,0.84,0.84,0.85
62.80,2.18,1.35,2.18,1.35,-1.35,-1.44,-1.32,0.83,0.83,0.83
63.43,2.17,1.36,2.17,1.36,-1.36,-1.44,-1.31,0.81,0.81,0.81
64.07,2.16,1.37,2.16,1.37,-1.37,-1.44,-1.30,0.80,0.80,0.80
64.71,2.16,1.37,2.16,1.37,-1.37,-1.44,-1.29,0.79,0.79,0.79
65.35,2.15,1.37,2.15,1.37,-1.38,-1.43,-1.28,0.77,0.77,0.78
66.01,2.14,1.38,2.14,1.37,-1.38,-1.42,-1.26,0.77,0.77,0.77
66.67,2.14,1.37,2.14,1.38,-1.37,-1.40,-1.25,0.76,0.76,0.77
67.33,2.13,1.38,2.13,1.38,-1.37,-1.38,-1.23,0.76,0.76,0.75
68.01,2.12,1.37,2.11,1.37,-1.36,-1.36,-1.21,0.76,0.75,0.75
68.69,2.09,1.36,2.09,1.36,-1.35,-1.33,-1.18,0.74,0.74,0.74
69.37,2.07,1.33,2.07,1.34,-1.34,-1.30,-1.16,0.73,0.73,0.74
70.07,2.05,1.32,2.05,1.32,-1.32,-1.26,-1.13,0.72,0.72,0.73
70.77,2.02,1.30,2.02,1.30,-1.31,-1.23,-1.10,0.71,0.72,0.72
71.48,2.00,1.28,2.00,1.28,-1.29,-1.19,-1.07,0.71,0.71,0.72
72.19,1.97,1.26,1.97,1.26,-1.26,-1.15,-1.04,0.70,0.70,0.71
72.91,1.94,1.24,1.94,1.24,-1.24,-1.10,-1.01,0.70,0.70,0.70
73.64,1.91,1.21,1.91,1.22,-1.21,-1.06,-0.98,0.70,0.70,0.70
74.38,1.88,1.19,1.88,1.18,-1.18,-1.02,-0.95,0.70,0.70,0.70
75.12,1.85,1.15,1.85,1.15,-1.14,-0.98,-0.91,0.71,0.71,0.71
75.87,1.82,1.10,1.82,1.10,-1.10,-0.93,-0.88,0.72,0.72,0.72
76.63,1.78,1.05,1.78,1.05,-1.05,-0.89,-0.84,0.73,0.73,0.73
77.40,1.74,1.00,1.75,1.00,-1.00,-0.85,-0.81,0.75,0.75,0.75
78.17,1.71,0.95,1.71,0.94,-0.94,-0.81,-0.77,0.77,0.77,0.76
78.95,1.67,0.87,1.67,0.88,-0.88,-0.77,-0.74,0.79,0.79,0.80
79.74,1.63,0.82,1.63,0.82,-0.83,-0.73,-0.70,0.80,0.80,0.81
80.54,1.58,0.77,1.58,0.76,-0.77,-0.69,-0.67,0.81,0.81,0.82
81.35,1.54,0.72,1.54,0.72,-0.72,-0.66,-0.63,0.81,0.81,0.82
82.16,1.49,0.66,1.49,0.67,-0.67,-0.62,-0.60,0.82,0.82,0.83
82.98,1.45,0.63,1.44,0.63,-0.63,-0.58,-0.56,0.82,0.82,0.82
83.81,1.39,0.59,1.39,0.59,-0.58,-0.55,-0.53,0.81,0.81,0.81
84.65,1.33,0.55,1.34,0.54,-0.54,-0.52,-0.49,0.80,0.80,0.79
85.50,1.28,0.50,1.28,0.50,-0.49,-0.49,-0.46,0.78,0.78,0.78
86.35,1.22,0.45,1.22,0.45,-0.45,-0.45,-0.43,0.77,0.77,0.77
87.22,1.16,0.40,1.16,0.40,-0.40,-0.42,-0.39,0.76,0.76,0.76
88.09,1.09,0.35,1.09,0.35,-0.34,-0.40,-0.36,0.75,0.75,0.75
88.97,1.03,0.29,1.03,0.29,-0.29,-0.37,-0.33,0.74,0.74,0.74
89.86,0.96,0.23,0.96,0.23,-0.23,-0.34,-0.29,0.73,0.73,0.73
90.76,0.89,0.17,0.89,0.17,-0.17,-0.31,-0.26,0.72,0.72,0.73
91.66,0.83,0.11,0.83,0.10,-0.11,-0.29,-0.23,0.72,0.72,0.72
92.58,0.76,0.03,0.77,0.04,-0.04,-0.26,-0.20,0.72,0.73,0.73
93.51,0.72,-0.01,0.72,-0.01,0.02,-0.24,-0.16,0.74,0.74,0.74
94.44,0.69,-0.07,0.69,-0.07,0.08,-0.22,-0.13,0.77,0.77,0.76
95.39,0.65,-0.11,0.65,-0.13,0.14,-0.19,-0.10,0.79,0.79,0.77
96.34,0.62,-0.19,0.61,-0.19,0.19,-0.17,-0.07,0.80,0.80,0.81
97.30,0.58,-0.27,0.59,-0.25,0.23,-0.15,-0.04,0.81,0.82,0.85
98.28,0.58,-0.28,0.58,-0.28,0.26,-0.13,-0.01,0.84,0.84,0.86
99.26,0.59,-0.29,0.58,-0.29,0.29,-0.11,0.02,0.87,0.87,0.88
100.25,0.59,-0.29,0.59,-0.30,0.30,-0.09,0.05,0.90,0.89,0.89
101.25,0.60,-0.31,0.60,-0.30,0.30,-0.07,0.08,0.91,0.91,0.91
102.27,0.61,-0.31,0.61,-0.30,0.30,-0.05,0.11,0.91,0.91,0.92
103.29,0.63,-0.28,0.63,-0.29,0.28,-0.03,0.13,0.91,0.91,0.91
104.32,0.65,-0.26,0.65,-0.27,0.26,-0.01,0.16,0.91,0.91,0.91
105.37,0.67,-0.25,0.67,-0.24,0.24,0.01,0.19,0.91,0.91,0.92
106.42,0.69,-0.21,0.69,-0.21,0.22,0.03,0.21,0.91,0.91,0.91
107.48,0.72,-0.18,0.72,-0.19,0.20,0.04,0.24,0.91,0.91,0.90
108.56,0.74,-0.17,0.74,-0.17,0.17,0.06,0.27,0.91,0.91,0.91
109.64,0.76,-0.15,0.76,-0.15,0.15,0.08,0.29,0.91,0.91,0.91
110.74,0.77,-0.13,0.78,-0.13,0.13,0.10,0.31,0.90,0.90,0.91
111.85,0.79,-0.11,0.79,-0.11,0.11,0.12,0.34,0.90,0.90,0.91
112.97,0.81,-0.10,0.81,-0.10,0.09,0.13,0.36,0.90,0.90,0.91
114.10,0.83,-0.08,0.82,-0.08,0.08,0.15,0.38,0.90,0.90,0.91
115.24,0.82,-0.06,0.83,-0.06,0.07,0.17,0.40,0.89,0.89,0.89
116.39,0.82,-0.05,0.82,-0.05,0.06,0.19,0.42,0.88,0.88,0.88
117.55,0.82,-0.05,0.82,-0.04,0.06,0.21,0.44,0.88,0.88,0.87
118.73,0.82,-0.05,0.82,-0.05,0.06,0.22,0.45,0.88,0.88,0.87
119.92,0.82,-0.06,0.81,-0.06,0.07,0.24,0.47,0.89,0.88,0.88
121.12,0.80,-0.09,0.80,-0.08,0.08,0.26,0.48,0.88,0.88,0.89
122.33,0.77,-0.10,0.78,-0.11,0.10,0.28,0.50,0.87,0.87,0.88
123.55,0.75,-0.13,0.75,-0.13,0.11,0.30,0.51,0.86,0.86,0.88
124.79,0.73,-0.14,0.73,-0.14,0.13,0.31,0.52,0.86,0.86,0.87
126.03,0.70,-0.15,0.70,-0.15,0.15,0.33,0.53,0.85,0.85,0.86
127.29,0.68,-0.17,0.68,-0.17,0.17,0.35,0.54,0.85,0.85,0.85
128.57,0.65,-0.18,0.65,-0.19,0.19,0.37,0.55,0.84,0.84,0.84
129.85,0.63,-0.21,0.63,-0.21,0.22,0.39,0.55,0.84,0.85,0.84
131.15,0.60,-0.23,0.60,-0.23,0.25,0.41,0.56,0.85,0.85,0.84
132.46,0.58,-0.27,0.58,-0.27,0.29,0.43,0.56,0.87,0.87,0.85
133.79,0.55,-0.32,0.55,-0.32,0.33,0.45,0.57,0.88,0.88,0.87
135.12,0.52,-0.38,0.52,-0.38,0.38,0.47,0.57,0.90,0.90,0.90
136.48,0.49,-0.45,0.49,-0.44,0.43,0.49,0.57,0.92,0.92,0.94
137.84,0.46,-0.49,0.46,-0.49,0.47,0.51,0.57,0.93,0.93,0.95
139.22,0.43,-0.52,0.43,-0.52,0.51,0.53,0.57,0.94,0.94,0.95
140.61,0.40,-0.56,0.40,-0.55,0.55,0.55,0.57,0.95,0.95,0.96
142.02,0.37,-0.58,0.37,-0.58,0.58,0.57,0.57,0.95,0.95,0.95
143.44,0.34,-0.61,0.34,-0.61,0.61,0.59,0.57,0.95,0.95,0.95
144.87,0.31,-0.63,0.31,-0.62,0.63,0.61,0.56,0.94,0.94,0.94
146.32,0.28,-0.64,0.28,-0.64,0.64,0.63,0.56,0.92,0.92,0.92
147.78,0.25,-0.66,0.25,-0.65,0.66,0.66,0.56,0.91,0.91,0.91
149.26,0.22,-0.67,0.22,-0.67,0.67,0.68,0.55,0.89,0.89,0.89
150.75,0.19,-0.68,0.19,-0.68,0.68,0.70,0.55,0.87,0.87,0.87
152.26,0.16,-0.70,0.16,-0.69,0.69,0.72,0.55,0.85,0.85,0.86
153.78,0.13,-0.71,0.13,-0.71,0.71,0.74,0.54,0.84,0.84,0.84
155.32,0.10,-0.72,0.10,-0.72,0.72,0.76,0.54,0.82,0.82,0.82
156.88,0.07,-0.74,0.07,-0.73,0.73,0.78,0.54,0.81,0.81,0.81
158.44,0.04,-0.74,0.04,-0.75,0.75,0.80,0.53,0.79,0.79,0.79
160.03,0.01,-0.77,0.01,-0.77,0.77,0.82,0.53,0.79,0.79,0.79
161.63,-0.01,-0.79,-0.01,-0.79,0.80,0.84,0.53,0.78,0.78,0.78
163.24,-0.04,-0.81,-0.04,-0.82,0.82,0.86,0.53,0.78,0.78,0.77
164.88,-0.07,-0.85,-0.07,-0.84,0.85,0.88,0.52,0.78,0.78,0.78
166.53,-0.10,-0.88,-0.10,-0.88,0.88,0.90,0.52,0.78,0.78,0.78
168.19,-0.13,-0.92,-0.13,-0.91,0.91,0.92,0.52,0.78,0.78,0.79
169.87,-0.16,-0.94,-0.16,-0.94,0.93,0.94,0.52,0.78,0.78,0.79
171.57,-0.18,-0.96,-0.18,-0.97,0.96,0.95,0.52,0.77,0.78,0.78
173.29,-0.21,-0.99,-0.21,-0.98,0.98,0.97,0.52,0.77,0.77,0.78
175.02,-0.23,-1.00,-0.23,-1.00,1.00,0.98,0.52,0.77,0.77,0.77
