frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.93,0.43,1.93,0.43,-0.42,-0.70,-0.41,1.51,1.51,1.50
20.20,1.97,0.47,1.97,0.47,-0.47,-0.71,-0.42,1.50,1.50,1.50
20.40,2.01,0.51,2.01,0.51,-0.51,-0.72,-0.44,1.50,1.50,1.50
20.61,2.06,0.56,2.06,0.56,-0.56,-0.73,-0.45,1.50,1.50,1.50
20.81,2.10,0.60,2.10,0.60,-0.60,-0.74,-0.46,1.50,1.50,1.50
21.02,2.14,0.64,2.14,0.64,-0.65,-0.75,-0.48,1.50,1.50,1.50
21.23,2.18,0.68,2.19,0.68,-0.69,-0.76,-0.49,1.50,1.50,1.50
21.44,2.23,0.73,2.23,0.73,-0.73,-0.77,-0.51,1.50,1.50,1.50
21.66,2.27,0.77,2.27,0.77,-0.77,-0.78,-0.53,1.50,1.50,1.50
21.87,2.31,0.81,2.31,0.81,-0.81,-0.79,-0.54,1.50,1.50,1.50
22.09,2.34,0.84,2.34,0.84,-0.85,-0.80,-0.56,1.50,1.50,1.50
22.31,2.38,0.87,2.38,0.88,-0.88,-0.81,-0.58,1.50,1.50,1.50
22.54,2.41,0.91,2.41,0.91,-0.91,-0.82,-0.60,1.50,1.51,1.50
22.76,2.44,0.94,2.44,0.94,-0.93,-0.83,-0.62,1.51,1.51,1.50
22.99,2.47,0.96,2.46,0.96,-0.95,-0.84,-0.64,1.52,1.51,1.50
23.22,2.47,0.97,2.47,0.97,-0.96,-0.85,-0.66,1.51,1.51,1.50
23.45,2.47,0.97,2.48,0.97,-0.98,-0.86,-0.68,1.50,1.50,1.50
23.69,2.48,0.98,2.48,0.98,-0.98,-0.87,-0.70,1.50,1.50,1.50
23.92,2.48,0.98,2.48,0.98,-0.99,-0.88,-0.72,1.49,1.49,1.50
24.16,2.49,0.99,2.49,0.99,-0.99,-0.89,-0.74,1.49,1.49,1.50
24.40,2.49,0.99,2.49,0.99,-1.00,-0.90,-0.76,1.50,1.50,1.50
24.65,2.50,1.00,2.50,1.00,-1.00,-0.91,-0.78,1.50,1.50,1.50
24.89,2.50,1.00,2.51,1.01,-1.00,-0.92,-0.80,1.50,1.50,1.50
25.14,2.51,1.01,2.51,1.01,-1.00,-0.93,-0.83,1.51,1.51,1.50
25.39,2.52,1.01,2.51,1.01,-1.00,-0.94,-0.85,1.51,1.51,1.50
25.65,2.50,1.00,2.50,1.00,-1.00,-0.94,-0.87,1.51,1.51,1.50
25.91,2.49,0.99,2.49,0.99,-0.99,-0.95,-0.89,1.50,1.50,1.50
26.16,2.48,0.98,2.48,0.98,-0.98,-0.96,-0.92,1.50,1.50,1.50
26.43,2.46,0.96,2.46,0.96,-0.97,-0.97,-0.94,1.50,1.50,1.50
26.69,2.45,0.95,2.45,0.95,-0.95,-0.98,-0.96,1.50,1.50,1.50
26.96,2.44,0.94,2.44,0.94,-0.94,-0.99,-0.98,1.50,1.50,1.50
27.23,2.43,0.93,2.43,0.93,-0.92,-0.99,-1.00,1.50,1.50,1.50
27.50,2.42,0.92,2.42,0.91,-0.91,-1.00,-1.02,1.50,1.50,1.50
27.77,2.41,0.90,2.40,0.90,-0.91,-1.01,-1.04,1.50,1.50,1.50
28.05,2.39,0.89,2.40,0.90,-0.90,-1.01,-1.06,1.49,1.49,1.50
28.33,2.39,0.89,2.40,0.89,-0.90,-1.02,-1.08,1.49,1.49,1.50
28.62,2.40,0.90,2.40,0.90,-0.90,-1.02,-1.10,1.50,1.50,1.50
28.90,2.41,0.91,2.41,0.91,-0.91,-1.03,-1.11,1.50,1.50,1.50
29.19,2.42,0.91,2.42,0.92,-0.91,-1.03,-1.13,1.51,1.51,1.50
29.48,2.42,0.92,2.42,0.92,-0.91,-1.04,-1.14,1.51,1.51,1.50
29.78,2.42,0.92,2.42,0.92,-0.91,-1.04,-1.15,1.51,1.51,1.50
30.08,2.42,0.92,2.42,0.92,-0.91,-1.04,-1.16,1.51,1.51,1.50
30.38,2.41,0.91,2.41,0.91,-0.91,-1.04,-1.17,1.50,1.50,1.50
30.68,2.40,0.90,2.40,0.90,-0.90,-1.05,-1.18,1.50,1.50,1.50
30.99,2.40,0.89,2.40,0.89,-0.90,-1.05,-1.18,1.50,1.50,1.50
31.30,2.39,0.89,2.39,0.89,-0.89,-1.05,-1.19,1.50,1.50,1.50
31.61,2.39,0.89,2.39,0.89,-0.89,-1.05,-1.19,1.50,1.50,1.50
31.93,2.39,0.89,2.39,0.89,-0.88,-1.05,-1.19,1.50,1.50,1.50
32.24,2.39,0.88,2.38,0.88,-0.88,-1.04,-1.19,1.50,1.50,1.50
32.57,2.38,0.88,2.38,0.88,-0.89,-1.04,-1.19,1.50,1.50,1.50
32.89,2.38,0.88,2.39,0.89,-0.89,-1.04,-1.18,1.49,1.49,1.50
33.22,2.40,0.89,2.40,0.89,-0.90,-1.04,-1.17,1.50,1.49,1.50
33.55,2.41,0.91,2.41,0.91,-0.91,-1.03,-1.17,1.50,1.50,1.50
33.89,2.42,0.92,2.42,0.92,-0.92,-1.03,-1.16,1.50,1.50,1.50
34.23,2.43,0.93,2.44,0.93,-0.93,-1.02,-1.15,1.51,1.51,1.50
34.57,2.45,0.95,2.44,0.94,-0.93,-1.02,-1.14,1.51,1.51,1.50
34.92,2.45,0.94,2.45,0.94,-0.94,-1.01,-1.13,1.51,1.51,1.50
35.27,2.44,0.94,2.44,0.94,-0.94,-1.01,-1.11,1.50,1.50,1.50
35.62,2.44,0.94,2.44,0.94,-0.94,-1.00,-1.10,1.50,1.50,1.50
35.97,2.43,0.93,2.43,0.93,-0.93,-0.99,-1.09,1.50,1.50,1.50
36.33,2.43,0.93,2.43,0.93,-0.93,-0.99,-1.07,1.50,1.50,1.50
36.70,2.42,0.92,2.42,0.91,-0.91,-0.98,-1.06,1.50,1.50,1.50
37.06,2.40,0.90,2.40,0.90,-0.90,-0.97,-1.04,1.50,1.50,1.50
37.43,2.38,0.88,2.38,0.88,-0.88,-0.96,-1.03,1.50,1.50,1.50
37.81,2.37,0.86,2.37,0.87,-0.86,-0.95,-1.01,1.50,1.50,1.50
38.19,2.35,0.85,2.35,0.85,-0.84,-0.94,-0.99,1.51,1.51,1.50
38.57,2.32,0.82,2.32,0.82,-0.81,-0.93,-0.98,1.51,1.51,1.50
38.95,2.29,0.79,2.29,0.79,-0.78,-0.92,-0.96,1.51,1.51,1.50
39.34,2.26,0.76,2.26,0.76,-0.76,-0.91,-0.95,1.50,1.50,1.50
39.74,2.23,0.73,2.22,0.72,-0.73,-0.90,-0.93,1.50,1.49,1.50
40.14,2.19,0.69,2.19,0.69,-0.71,-0.89,-0.92,1.49,1.49,1.50
40.54,2.17,0.67,2.17,0.67,-0.69,-0.88,-0.91,1.48,1.49,1.50
40.94,2.17,0.67,2.16,0.66,-0.67,-0.87,-0.89,1.49,1.49,1.50
41.35,2.16,0.66,2.16,0.66,-0.66,-0.86,-0.88,1.50,1.50,1.50
41.76,2.16,0.66,2.16,0.66,-0.66,-0.85,-0.87,1.51,1.51,1.50
42.18,2.16,0.66,2.16,0.66,-0.65,-0.84,-0.86,1.51,1.51,1.50
42.60,2.16,0.66,2.16,0.66,-0.65,-0.83,-0.85,1.51,1.51,1.50
43.03,2.15,0.65,2.15,0.65,-0.64,-0.82,-0.84,1.51,1.51,1.50
43.46,2.14,0.64,2.14,0.64,-0.64,-0.81,-0.83,1.51,1.51,1.50
43.90,2.13,0.63,2.13,0.63,-0.63,-0.80,-0.82,1.50,1.50,1.50
44.33,2.13,0.63,2.12,0.62,-0.63,-0.79,-0.81,1.49,1.49,1.50
44.78,2.12,0.62,2.12,0.62,-0.63,-0.78,-0.80,1.48,1.49,1.50
45.23,2.13,0.63,2.13,0.63,-0.64,-0.77,-0.79,1.49,1.49,1.50
45.68,2.15,0.65,2.15,0.65,-0.65,-0.77,-0.79,1.50,1.50,1.50
46.13,2.17,0.67,2.17,0.67,-0.66,-0.76,-0.78,1.50,1.50,1.50
46.60,2.19,0.69,2.19,0.69,-0.68,-0.75,-0.78,1.50,1.50,1.50
47.06,2.21,0.70,2.21,0.70,-0.71,-0.74,-0.77,1.50,1.50,1.50
47.53,2.23,0.73,2.23,0.73,-0.73,-0.74,-0.77,1.50,1.50,1.50
48.01,2.25,0.75,2.25,0.75,-0.75,-0.73,-0.76,1.50,1.49,1.50
48.49,2.27,0.77,2.27,0.77,-0.77,-0.73,-0.76,1.50,1.50,1.50
48.97,2.30,0.79,2.30,0.80,-0.79,-0.73,-0.76,1.51,1.51,1.50
49.46,2.32,0.82,2.31,0.81,-0.80,-0.72,-0.76,1.52,1.52,1.50
49.96,2.33,0.82,2.32,0.82,-0.80,-0.72,-0.75,1.52,1.52,1.50
50.46,2.31,0.81,2.31,0.81,-0.80,-0.72,-0.75,1.51,1.51,1.50
50.96,2.30,0.80,2.30,0.80,-0.80,-0.72,-0.75,1.50,1.50,1.50
51.47,2.28,0.78,2.28,0.78,-0.79,-0.72,-0.75,1.49,1.49,1.50
51.99,2.27,0.77,2.27,0.77,-0.78,-0.72,-0.75,1.49,1.49,1.50
52.51,2.26,0.76,2.26,0.76,-0.77,-0.72,-0.75,1.49,1.49,1.50
53.03,2.26,0.75,2.25,0.75,-0.76,-0.73,-0.75,1.50,1.50,1.50
53.56,2.25,0.75,2.25,0.75,-0.75,-0.73,-0.75,1.50,1.50,1.50
54.10,2.25,0.75,2.25,0.75,-0.75,-0.74,-0.75,1.50,1.50,1.50
54.64,2.25,0.75,2.25,0.75,-0.75,-0.74,-0.75,1.50,1.50,1.50
55.18,2.25,0.75,2.25,0.75,-0.75,-0.75,-0.75,1.50,1.50,1.50
55.74,2.25,0.75,2.25,0.75,-0.75,-0.76,-0.74,1.50,1.50,1.50
56.29,2.25,0.75,2.25,0.75,-0.75,-0.77,-0.74,1.50,1.50,1.50
56.86,2.25,0.75,2.25,0.75,-0.75,-0.77,-0.74,1.50,1.50,1.50
57.42,2.25,0.75,2.25,0.75,-0.75,-0.78,-0.74,1.50,1.50,1.50
58.00,2.25,0.75,2.25,0.75,-0.74,-0.79,-0.73,1.51,1.51,1.50
58.58,2.24,0.74,2.24,0.74,-0.74,-0.80,-0.73,1.51,1.51,1.50
59.16,2.23,0.73,2.23,0.73,-0.73,-0.81,-0.72,1.50,1.50,1.50
59.76,2.22,0.72,2.22,0.72,-0.72,-0.81,-0.72,1.50,1.50,1.50
60.35,2.21,0.71,2.21,0.71,-0.71,-0.82,-0.71,1.50,1.50,1.50
60.96,2.20,0.70,2.20,0.70,-0.70,-0.82,-0.70,1.50,1.50,1.50
61.57,2.19,0.69,2.19,0.69,-0.69,-0.83,-0.69,1.50,1.50,1.50
62.18,2.19,0.68,2.19,0.68,-0.69,-0.83,-0.68,1.50,1.50,1.50
62.80,2.18,0.68,2.18,0.68,-0.68,-0.82,-0.67,1.50,1.50,1.50
63.43,2.17,0.67,2.17,0.67,-0.67,-0.82,-0.65,1.50,1.50,1.50
64.07,2.16,0.66,2.16,0.66,-0.66,-0.81,-0.64,1.50,1.50,1.50
64.71,2.16,0.66,2.16,0.66,-0.66,-0.80,-0.63,1.50,1.50,1.50
65.35,2.15,0.65,2.15,0.65,-0.65,-0.79,-0.61,1.50,1.50,1.50
66.01,2.14,0.64,2.14,0.64,-0.64,-0.77,-0.59,1.50,1.50,1.50
66.67,2.14,0.63,2.14,0.64,-0.63,-0.75,-0.57,1.50,1.50,1.50
67.33,2.13,0.63,2.13,0.63,-0.62,-0.73,-0.55,1.51,1.51,1.50
68.01,2.12,0.62,2.11,0.61,-0.61,-0.70,-0.53,1.51,1.51,1.50
68.69,2.09,0.59,2.09,0.59,-0.59,-0.67,-0.51,1.50,1.51,1.50
69.37,2.07,0.57,2.07,0.57,-0.57,-0.63,-0.49,1.50,1.50,1.50
70.07,2.05,0.54,2.05,0.54,-0.55,-0.60,-0.47,1.50,1.50,1.50
70.77,2.02,0.52,2.02,0.52,-0.52,-0.56,-0.44,1.50,1.50,1.50
71.48,2.00,0.50,2.00,0.49,-0.50,-0.52,-0.42,1.50,1.50,1.50
72.19,1.97,0.47,1.97,0.47,-0.47,-0.48,-0.39,1.50,1.50,1.50
72.91,1.94,0.44,1.94,0.44,-0.44,-0.43,-0.37,1.50,1.50,1.50
73.64,1.91,0.41,1.91,0.41,-0.41,-0.39,-0.34,1.50,1.50,1.50
74.38,1.88,0.38,1.88,0.38,-0.38,-0.34,-0.31,1.50,1.50,1.50
75.12,1.85,0.35,1.85,0.35,-0.35,-0.30,-0.29,1.50,1.50,1.50
75.87,1.82,0.32,1.82,0.32,-0.32,-0.25,-0.26,1.50,1.50,1.50
76.63,1.78,0.28,1.78,0.28,-0.28,-0.20,-0.23,1.50,1.50,1.50
77.40,1.74,0.24,1.75,0.24,-0.25,-0.16,-0.20,1.50,1.50,1.50
78.17,1.71,0.21,1.71,0.21,-0.21,-0.11,-0.17,1.50,1.50,1.50
