frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.93,-0.11,1.93,-0.11,0.12,-0.31,-0.21,2.05,2.05,2.04
20.20,1.97,-0.07,1.97,-0.07,0.07,-0.31,-0.22,2.04,2.04,2.04
20.40,2.01,-0.03,2.01,-0.03,0.03,-0.32,-0.22,2.04,2.04,2.04
20.61,2.06,0.01,2.06,0.01,-0.02,-0.32,-0.23,2.04,2.04,2.04
20.81,2.10,0.06,2.10,0.06,-0.06,-0.33,-0.23,2.04,2.04,2.04
21.02,2.14,0.10,2.14,0.10,-0.10,-0.33,-0.24,2.04,2.04,2.04
21.23,2.18,0.14,2.19,0.14,-0.14,-0.34,-0.25,2.04,2.04,2.04
21.44,2.23,0.18,2.23,0.18,-0.18,-0.34,-0.26,2.04,2.04,2.04
21.66,2.27,0.23,2.27,0.23,-0.22,-0.35,-0.26,2.05,2.04,2.04
21.87,2.31,0.26,2.31,0.26,-0.26,-0.35,-0.27,2.04,2.04,2.04
22.09,2.34,0.30,2.34,0.30,-0.30,-0.36,-0.28,2.04,2.04,2.04
22.31,2.38,0.33,2.38,0.33,-0.34,-0.36,-0.29,2.04,2.04,2.04
22.54,2.41,0.37,2.41,0.37,-0.37,-0.36,-0.29,2.04,2.05,2.04
22.76,2.44,0.40,2.44,0.40,-0.39,-0.37,-0.30,2.05,2.05,2.04
22.99,2.47,0.43,2.46,0.42,-0.42,-0.37,-0.31,2.05,2.04,2.04
23.22,2.47,0.44,2.47,0.44,-0.44,-0.38,-0.32,2.03,2.03,2.03
23.45,2.47,0.45,2.48,0.46,-0.46,-0.38,-0.33,2.02,2.02,2.02
23.69,2.48,0.47,2.48,0.47,-0.47,-0.39,-0.34,2.01,2.01,2.01
23.92,2.48,0.48,2.48,0.48,-0.49,-0.39,-0.35,2.00,2.00,2.00
24.16,2.49,0.49,2.49,0.49,-0.50,-0.39,-0.36,1.99,1.99,1.99
24.40,2.49,0.51,2.49,0.51,-0.51,-0.40,-0.37,1.98,1.98,1.99
24.65,2.50,0.52,2.50,0.52,-0.53,-0.40,-0.38,1.97,1.97,1.98
24.89,2.50,0.54,2.51,0.54,-0.53,-0.41,-0.39,1.97,1.97,1.97
25.14,2.51,0.55,2.51,0.55,-0.54,-0.41,-0.40,1.97,1.97,1.96
25.39,2.52,0.56,2.51,0.56,-0.54,-0.41,-0.41,1.97,1.97,1.95
25.65,2.50,0.55,2.50,0.55,-0.54,-0.42,-0.42,1.96,1.96,1.95
25.91,2.49,0.54,2.49,0.54,-0.54,-0.42,-0.43,1.95,1.95,1.95
26.16,2.48,0.53,2.48,0.53,-0.54,-0.43,-0.44,1.94,1.94,1.94
26.43,2.46,0.52,2.46,0.52,-0.53,-0.43,-0.45,1.93,1.93,1.94
26.69,2.45,0.52,2.45,0.52,-0.52,-0.43,-0.46,1.93,1.93,1.94
26.96,2.44,0.52,2.44,0.51,-0.52,-0.44,-0.47,1.92,1.92,1.92
27.23,2.43,0.52,2.43,0.52,-0.51,-0.44,-0.48,1.91,1.91,1.91
27.50,2.42,0.52,2.42,0.52,-0.51,-0.44,-0.49,1.90,1.90,1.90
27.77,2.41,0.52,2.40,0.52,-0.52,-0.44,-0.50,1.89,1.89,1.89
28.05,2.39,0.52,2.40,0.52,-0.52,-0.45,-0.50,1.87,1.88,1.88
28.33,2.39,0.52,2.40,0.52,-0.53,-0.45,-0.51,1.87,1.87,1.87
28.62,2.40,0.53,2.40,0.53,-0.54,-0.45,-0.52,1.87,1.87,1.87
28.90,2.41,0.54,2.41,0.54,-0.54,-0.45,-0.53,1.87,1.87,1.87
29.19,2.42,0.55,2.42,0.55,-0.55,-0.46,-0.54,1.87,1.87,1.87
29.48,2.42,0.56,2.42,0.56,-0.55,-0.46,-0.55,1.87,1.87,1.87
29.78,2.42,0.56,2.42,0.56,-0.55,-0.46,-0.55,1.87,1.87,1.87
30.08,2.42,0.55,2.42,0.55,-0.55,-0.46,-0.56,1.87,1.87,1.87
30.38,2.41,0.54,2.41,0.55,-0.55,-0.47,-0.57,1.86,1.87,1.87
30.68,2.40,0.54,2.40,0.54,-0.54,-0.47,-0.57,1.86,1.86,1.87
30.99,2.40,0.53,2.40,0.53,-0.53,-0.47,-0.58,1.86,1.86,1.87
31.30,2.39,0.52,2.39,0.53,-0.53,-0.47,-0.58,1.86,1.86,1.87
31.61,2.39,0.52,2.39,0.52,-0.52,-0.47,-0.59,1.87,1.87,1.87
31.93,2.39,0.52,2.39,0.52,-0.52,-0.48,-0.59,1.87,1.87,1.87
32.24,2.39,0.52,2.38,0.52,-0.52,-0.48,-0.59,1.87,1.87,1.87
32.57,2.38,0.52,2.38,0.52,-0.52,-0.48,-0.59,1.86,1.86,1.87
32.89,2.38,0.51,2.39,0.52,-0.52,-0.48,-0.60,1.86,1.86,1.87
33.22,2.40,0.52,2.40,0.52,-0.53,-0.48,-0.60,1.87,1.87,1.87
33.55,2.41,0.53,2.41,0.53,-0.54,-0.49,-0.60,1.87,1.87,1.88
33.89,2.42,0.54,2.42,0.54,-0.54,-0.49,-0.60,1.88,1.88,1.88
34.23,2.43,0.55,2.44,0.55,-0.54,-0.49,-0.60,1.89,1.89,1.88
34.57,2.45,0.56,2.44,0.56,-0.54,-0.49,-0.60,1.90,1.90,1.89
34.92,2.45,0.55,2.45,0.55,-0.54,-0.49,-0.60,1.90,1.90,1.89
35.27,2.44,0.54,2.44,0.54,-0.54,-0.50,-0.60,1.90,1.90,1.90
35.62,2.44,0.53,2.44,0.53,-0.53,-0.50,-0.61,1.91,1.91,1.91
35.97,2.43,0.52,2.43,0.52,-0.52,-0.50,-0.61,1.91,1.91,1.92
36.33,2.43,0.50,2.43,0.51,-0.52,-0.50,-0.61,1.91,1.91,1.92
36.70,2.42,0.50,2.42,0.50,-0.51,-0.51,-0.61,1.91,1.91,1.91
37.06,2.40,0.50,2.40,0.50,-0.50,-0.51,-0.61,1.90,1.90,1.90
37.43,2.38,0.49,2.38,0.49,-0.49,-0.51,-0.61,1.89,1.89,1.89
37.81,2.37,0.48,2.37,0.48,-0.48,-0.51,-0.61,1.89,1.89,1.88
38.19,2.35,0.48,2.35,0.48,-0.47,-0.52,-0.61,1.88,1.88,1.87
38.57,2.32,0.46,2.32,0.46,-0.45,-0.52,-0.61,1.88,1.87,1.86
38.95,2.29,0.44,2.29,0.44,-0.43,-0.52,-0.61,1.86,1.86,1.85
39.34,2.26,0.42,2.26,0.42,-0.41,-0.53,-0.61,1.85,1.85,1.84
39.74,2.23,0.39,2.22,0.39,-0.40,-0.53,-0.62,1.83,1.83,1.83
40.14,2.19,0.37,2.19,0.37,-0.39,-0.53,-0.62,1.81,1.81,1.82
40.54,2.17,0.35,2.17,0.36,-0.38,-0.54,-0.62,1.79,1.80,1.81
40.94,2.17,0.37,2.16,0.36,-0.37,-0.54,-0.62,1.79,1.79,1.80
41.35,2.16,0.38,2.16,0.37,-0.37,-0.54,-0.63,1.79,1.79,1.79
41.76,2.16,0.39,2.16,0.39,-0.38,-0.55,-0.63,1.78,1.78,1.78
42.18,2.16,0.40,2.16,0.40,-0.39,-0.55,-0.64,1.78,1.78,1.77
42.60,2.16,0.41,2.16,0.40,-0.39,-0.56,-0.64,1.77,1.76,1.75
43.03,2.15,0.41,2.15,0.41,-0.40,-0.56,-0.65,1.75,1.75,1.74
43.46,2.14,0.42,2.14,0.42,-0.41,-0.57,-0.66,1.73,1.73,1.73
43.90,2.13,0.42,2.13,0.42,-0.42,-0.57,-0.66,1.71,1.71,1.71
44.33,2.13,0.43,2.12,0.43,-0.44,-0.58,-0.67,1.69,1.69,1.70
44.78,2.12,0.43,2.12,0.44,-0.45,-0.58,-0.68,1.66,1.67,1.68
45.23,2.13,0.46,2.13,0.46,-0.47,-0.59,-0.69,1.66,1.66,1.67
45.68,2.15,0.50,2.15,0.50,-0.50,-0.60,-0.69,1.65,1.65,1.65
46.13,2.17,0.53,2.17,0.53,-0.53,-0.60,-0.70,1.64,1.64,1.64
46.60,2.19,0.57,2.19,0.57,-0.56,-0.61,-0.71,1.63,1.62,1.62
47.06,2.21,0.60,2.21,0.60,-0.60,-0.62,-0.72,1.61,1.61,1.60
47.53,2.23,0.63,2.23,0.63,-0.63,-0.62,-0.74,1.59,1.59,1.59
48.01,2.25,0.66,2.25,0.66,-0.67,-0.63,-0.75,1.58,1.58,1.59
48.49,2.27,0.69,2.27,0.69,-0.69,-0.64,-0.76,1.58,1.58,1.58
48.97,2.30,0.72,2.30,0.72,-0.72,-0.65,-0.77,1.58,1.58,1.58
49.46,2.32,0.75,2.31,0.75,-0.74,-0.66,-0.78,1.58,1.58,1.57
49.96,2.33,0.77,2.32,0.76,-0.75,-0.67,-0.79,1.58,1.57,1.56
50.46,2.31,0.76,2.31,0.77,-0.76,-0.68,-0.81,1.55,1.56,1.55
50.96,2.30,0.76,2.30,0.76,-0.76,-0.69,-0.82,1.53,1.54,1.54
51.47,2.28,0.76,2.28,0.76,-0.76,-0.70,-0.83,1.52,1.52,1.52
51.99,2.27,0.76,2.27,0.76,-0.77,-0.71,-0.85,1.50,1.50,1.51
52.51,2.26,0.76,2.26,0.76,-0.77,-0.72,-0.86,1.49,1.49,1.50
53.03,2.26,0.77,2.25,0.77,-0.77,-0.73,-0.87,1.49,1.49,1.49
53.56,2.25,0.78,2.25,0.77,-0.77,-0.74,-0.89,1.48,1.48,1.48
54.10,2.25,0.79,2.25,0.78,-0.78,-0.76,-0.90,1.47,1.47,1.47
54.64,2.25,0.79,2.25,0.79,-0.80,-0.77,-0.91,1.46,1.46,1.46
55.18,2.25,0.81,2.25,0.81,-0.81,-0.78,-0.92,1.44,1.44,1.44
55.74,2.25,0.82,2.25,0.82,-0.82,-0.80,-0.94,1.42,1.42,1.43
56.29,2.25,0.84,2.25,0.84,-0.84,-0.81,-0.95,1.41,1.41,1.41
56.86,2.25,0.85,2.25,0.85,-0.85,-0.83,-0.96,1.40,1.40,1.40
57.42,2.25,0.87,2.25,0.87,-0.86,-0.84,-0.97,1.38,1.39,1.38
58.00,2.25,0.89,2.25,0.88,-0.88,-0.86,-0.97,1.37,1.37,1.36
58.58,2.24,0.89,2.24,0.89,-0.88,-0.87,-0.98,1.36,1.36,1.35
59.16,2.23,0.90,2.23,0.90,-0.89,-0.89,-0.99,1.34,1.34,1.34
59.76,2.22,0.90,2.22,0.90,-0.90,-0.90,-1.00,1.32,1.32,1.32
